INFO:root:Starting EM-Lab Run
INFO:root:Selected modules: ['sqlite:///C:\\Users\\isanchezjimene\\Documents\\TraderesCode\\toolbox-amiris-emlab\\.spinetoolbox\\items\\amrisdb\\AMRISDB.sqlite', 'run_investment_module']
INFO:root:emlab database: sqlite:///C:\Users\isanchezjimene\Documents\TraderesCode\toolbox-amiris-emlab\.spinetoolbox\items\emlabdb\EmlabDB.sqlite
INFO:root:amiris database: sqlite:///C:\Users\isanchezjimene\Documents\TraderesCode\toolbox-amiris-emlab\.spinetoolbox\items\amrisdb\AMRISDB.sqlite
INFO:root:SpineDBRW: Start Read Repository
INFO:root:Object Class not defined: CO2_captured
INFO:root:Object Class not defined: CO2_captured
INFO:root:Object Class not defined: CO2_captured
INFO:root:Object Class not defined: CO2_captured
INFO:root:Object Class not defined: CO2_emission
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: EnergyProducers
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: VariableRenewableOperator
INFO:root:Object Class not defined: bioliquids
INFO:root:Object Class not defined: bioliquids
INFO:root:Object Class not defined: bioliquids
INFO:root:Object Class not defined: bioliquids
INFO:root:Object Class not defined: biomethane
INFO:root:Object Class not defined: biomethane
INFO:root:Object Class not defined: building_heating
INFO:root:Object Class not defined: building_heating
INFO:root:Object Class not defined: building_heating
INFO:root:Object Class not defined: building_heating
INFO:root:Object Class not defined: collectable_residues
INFO:root:Object Class not defined: collectable_residues
INFO:root:Object Class not defined: collectable_residues
INFO:root:Object Class not defined: collectable_residues
