identifier,VARIABLE_COSTS_IN_EURO,REVENUES_IN_EURO,PRODUCTION_IN_MWH,CONTRIBUTION_MARGIN_IN_EURO
99990100004,1029925.3999999911,624469908.250988,542065.9999999955,623439982.850988
20002100036,0.0,945601282.9353269,3070876.0766666643,945601282.9353269
20052100021,0.0,945601282.9353269,3070876.0766666643,945601282.9353269
20062100023,0.0,5027251477.025898,16326190.08749997,5027251477.025898
20102100024,0.0,945601282.9353269,3070876.0766666643,945601282.9353269
20102100042,0.0,5308901007.8831005,17240857.634934895,5308901007.8831005
20112100035,0.0,5027251477.025898,16286289.387819542,5027251477.025898
20152100032,0.0,5308901007.8831005,17240857.634934895,5308901007.8831005
20152100043,0.0,758040917.3704678,2461766.6666666646,758040917.3704678
20202100034,0.0,758040917.3704678,2461766.6666666646,758040917.3704678
19690300028,486999278.83343667,29106876385.249657,12587054.928128991,28619877106.41622
19820300039,1451579213.8092232,68871356306.66014,37517729.678191274,67419777092.85092
19840300037,297246438.68770134,12149475453.45717,7682675.136429667,11852229014.769468
19850300040,695163533.2408966,27021913848.289074,17967298.838502146,26326750315.048176
19870300029,1938869979.6969543,69358647072.54787,50112318.423561275,67419777092.850914
19890300027,387398485.76705384,12239627500.536524,10012758.193614615,11852229014.76947
19890300033,2314554231.5893497,75920987864.15164,59822308.806976154,73606433632.56229
19900300030,871541663.5806395,27198291978.628815,22525993.915063743,26326750315.048176
19920300041,810457101.7918324,24967546076.095993,20947193.354335662,24157088974.30416
19940300026,2506132404.313609,76112566036.87589,64773866.41274333,73606433632.56227
19970300031,830284914.4276148,24987373888.731777,21459665.913533438,24157088974.30416
19980300022,1905957947.7962818,57068608133.52314,49261669.210440435,55162650185.72686
20030300025,1913653298.708368,57076303484.43523,49460564.38099116,55162650185.72686
19640300038,409894454.12391704,29029771560.54013,10594192.297680577,28619877106.416214
