identifier,VARIABLE_COSTS_IN_EURO,REVENUES_IN_EURO,PRODUCTION_IN_MWH,CONTRIBUTION_MARGIN_IN_EURO,year
19710100134,2889481.8024000004,59675407.81269976,1520779.896,56785926.01029976,2020
19800100122,2605494.3655874743,53799972.48643664,1371312.8239934067,51194478.12084917,2020
19820100111,1273267.216,26302039.029961526,670140.6399999997,25028771.81396153,2020
19890100100,1763791.1280000005,36419013.63963956,928311.12,34655222.51163956,2020
19950100089,1216087.5672,25109951.50943544,640046.0879999999,23893863.94223544,2020
19960100078,960286.2808,19828129.648247994,505413.832,18867843.367447995,2020
19970100067,988022.762,20403053.85331573,520011.9799999999,19415031.091315724,2020
19980100056,936562.7744,19338283.26596044,492927.7760000001,18401720.49156044,2020
20000100045,837447.2680000002,17293611.40802964,440761.7200000001,16456164.14002964,2020
20010100034,1747020.197626,36076645.74735145,919484.3145400002,34329625.54972545,2020
20020100023,2640227.840000001,54521730.54748289,1389593.6,51881502.70748289,2020
20030100281,2131505.4772,44011632.56509604,1121844.9880000004,41880127.087896034,2020
20040100270,1721511.0588000005,35549872.12103847,906058.4519999996,33828361.06223847,2020
20050100259,688649.51736,14222425.88769471,362447.1143999999,13533776.37033471,2020
20060100248,943675.1850000002,19487259.160526227,496671.1500000001,18543583.97552623,2020
20070100237,2245999.7736,46385809.49895078,1182105.1440000003,44139809.72535078,2020
20080100226,1318201.7904000008,27218420.72015145,693790.4160000002,25900218.92975145,2020
20100100215,918407.3795000002,18965469.16114617,483372.30500000005,18047061.78164617,2020
20120100133,926036.6376,19125095.00920941,487387.70400000014,18199058.371609405,2020
20130100022,7538369.082801425,155684378.76705858,3967562.675158645,148146009.68425715,2020
20140100021,11606262.288480662,239722744.50544587,6108559.099200348,228116482.2169652,2020
19201200085,0.0,15132575.070513053,385895.5200000001,15132575.070513053,2020
19221200084,0.0,13520797.121025078,344793.6000000001,13520797.121025078,2020
19251200083,0.0,10717705.034958808,273311.99999999994,10717705.034958808,2020
19301200082,0.0,8640119.135874532,220331.51999999996,8640119.135874532,2020
19361200081,0.0,7263306.258306769,185221.44000000003,7263306.258306769,2020
19401200080,0.0,7543615.466913453,192369.6,7543615.466913453,2020
19411200079,0.0,18137654.674545705,462527.9999999998,18137654.674545705,2020
19421200077,0.0,6925286.330281072,176601.6,6925286.330281072,2020
19461200076,0.0,8244388.488429889,210240.0,8244388.488429889,2020
19491200075,0.0,20124552.300257534,513195.84000000026,20124552.300257534,2020
19511200074,0.0,9192493.164599365,234417.6,9192493.164599365,2020
19521200073,0.0,4732278.99235878,120677.76000000004,4732278.99235878,2020
19531200072,0.0,27964965.75275431,713134.08,27964965.75275431,2020
19561200071,0.0,32210825.82429565,821407.6800000002,32210825.82429565,2020
19571200070,0.0,5795805.107366224,147798.72000000003,5795805.107366224,2020
19581200069,0.0,7889879.783427414,201199.68,7889879.783427414,2020
19601200068,0.0,5177475.970733931,132030.72,5177475.970733931,2020
19621200066,0.0,28030920.860661577,714815.9999999999,28030920.860661577,2020
19631200065,0.0,38394117.19061818,979087.6800000002,38394117.19061818,2020
19641200064,0.0,36415463.953394935,928630.0800000004,36415463.953394935,2020
19651200063,0.0,8978139.063900217,228951.3600000001,8978139.063900217,2020
19681200062,0.0,9983954.459488502,254600.64000000007,9983954.459488502,2020
19721200061,0.0,13520797.121025078,344793.6000000001,13520797.121025078,2020
19731200060,0.0,76400748.12228028,1948294.0799999996,76400748.12228028,2020
19761200059,0.0,14790432.948243264,377170.56,14790432.948243264,2020
19771200058,0.0,87176163.87665743,2223077.76,87176163.87665743,2020
19801200057,0.0,5771071.941900929,147168.00000000006,5771071.941900929,2020
19811200055,0.0,4971366.258523237,126774.72000000002,4971366.258523237,2020
19821200054,0.0,7568348.632378624,193000.32,7568348.632378624,2020
19871200053,0.0,15647849.351040076,399035.5200000001,15647849.351040076,2020
19901200052,0.0,9678912.085416632,246821.75999999992,9678912.085416632,2020
19922400123,306308.87639999937,8571947.829070615,226895.46399999957,8265638.952670615,2020
19932400121,396284.5349999981,11089885.475769056,293544.0999999986,10693600.940769058,2020
19942400120,362369.1167999987,10140774.242597133,268421.567999999,9778405.125797132,2020
19952400119,392146.64999999857,10974088.197023625,290478.99999999884,10581941.547023624,2020
19962400118,578191.7429999984,16180495.69586486,428290.1799999988,15602303.95286486,2020
19972400117,1294903.2600000005,36237419.29671839,959187.6000000002,34942516.03671839,2020
