AgentId;TimeStep;OfferedPowerInMW;AwardedPowerInMWH;CostsInEUR;ReceivedMoneyInEUR
99990100004;946079977;104.78000000000019;;;
99990100004;946080005;;0.62;1.178;
99990100004;946083577;0.62;;;
99990100004;946083605;;0.62;1.178;
99990100004;946087177;0.62;;;
99990100004;946087205;;0.62;1.178;
99990100004;946090777;0.62;;;
99990100004;946090805;;0.62;1.178;
99990100004;946094377;0.62;;;
99990100004;946094405;;0.62;1.178;
99990100004;946097977;0.62;;;
99990100004;946098005;;0.62;1.178;
99990100004;946101577;0.62;;;
99990100004;946101605;;0.62;1.178;
99990100004;946105177;0.62;;;
99990100004;946105205;;0.62;1.178;
99990100004;946108777;0.62;;;
99990100004;946108805;;0.62;1.178;
99990100004;946112377;0.62;;;
99990100004;946112405;;0.62;1.178;
99990100004;946115977;0.62;;;
99990100004;946116005;;0.62;1.178;
99990100004;946119577;0.62;;;
99990100004;946119605;;0.62;1.178;
99990100004;946123177;0.62;;;
99990100004;946123205;;0.62;1.178;
99990100004;946126777;0.62;;;
99990100004;946126805;;0.62;1.178;
99990100004;946130377;0.62;;;
99990100004;946130405;;0.62;1.178;
99990100004;946133977;0.62;;;
99990100004;946134005;;0.62;1.178;
99990100004;946137577;0.62;;;
99990100004;946137605;;0.62;1.178;
99990100004;946141177;0.62;;;
99990100004;946141205;;0.62;1.178;
99990100004;946144777;0.62;;;
99990100004;946144805;;0.62;1.178;
99990100004;946148377;0.62;;;
99990100004;946148405;;0.62;1.178;
99990100004;946151977;0.62;;;
99990100004;946152005;;0.62;1.178;
99990100004;946155577;0.62;;;
99990100004;946155605;;0.62;1.178;
99990100004;946159177;0.62;;;
99990100004;946159205;;0.62;1.178;
99990100004;946162777;0.62;;;
99990100004;946162805;;0.62;1.178;
99990100004;946166377;0.62;;;
99990100004;946166405;;0.62;1.178;
99990100004;946169977;0.62;;;
99990100004;946170005;;0.62;1.178;
99990100004;946173577;0.62;;;
99990100004;946173605;;0.62;1.178;
99990100004;946177177;0.62;;;
99990100004;946177205;;0.62;1.178;
99990100004;946180777;0.62;;;
99990100004;946180805;;0.62;1.178;
99990100004;946184377;0.62;;;
99990100004;946184405;;0.62;1.178;
99990100004;946187977;0.62;;;
99990100004;946188005;;0.62;1.178;
99990100004;946191577;0.62;;;
99990100004;946191605;;0.62;1.178;
99990100004;946195177;0.62;;;
99990100004;946195205;;0.62;1.178;
99990100004;946198777;0.62;;;
99990100004;946198805;;0.62;1.178;
99990100004;946202377;0.62;;;
99990100004;946202405;;0.62;1.178;
99990100004;946205977;0.62;;;
99990100004;946206005;;0.62;1.178;
99990100004;946209577;0.62;;;
99990100004;946209605;;0.62;1.178;
99990100004;946213177;0.62;;;
99990100004;946213205;;0.62;1.178;
99990100004;946216777;0.62;;;
99990100004;946216805;;0.62;1.178;
99990100004;946220377;0.62;;;
99990100004;946220405;;0.62;1.178;
99990100004;946223977;0.62;;;
99990100004;946224005;;0.62;1.178;
99990100004;946227577;0.62;;;
99990100004;946227605;;0.62;1.178;
99990100004;946231177;0.62;;;
99990100004;946231205;;0.62;1.178;
99990100004;946234777;0.62;;;
