AgentId;TimeStep;OfferedPowerInMW;AwardedPowerInMWH;CostsInEUR;ReceivedMoneyInEUR
20132800050;946079998;1560.0;;;
20132800050;946080005;;0.0;0.0;
20132800050;946080006;;;;0.0
20132800050;946083598;1560.0;;;
20132800050;946083605;;0.0;0.0;
20132800050;946083606;;;;0.0
20132800050;946087198;1560.0;;;
20132800050;946087205;;0.0;0.0;
20132800050;946087206;;;;0.0
20132800050;946090798;1560.0;;;
20132800050;946090805;;0.0;0.0;
20132800050;946090806;;;;0.0
20132800050;946094398;1560.0;;;
20132800050;946094405;;0.0;0.0;
20132800050;946094406;;;;0.0
20132800050;946097998;1560.0;;;
20132800050;946098005;;0.0;0.0;
20132800050;946098006;;;;0.0
20132800050;946101598;1560.0;;;
20132800050;946101605;;0.0;0.0;
20132800050;946101606;;;;0.0
20132800050;946105198;1560.0;;;
20132800050;946105205;;762.3005062759985;41143.88673820486;
20132800050;946105206;;;;43049.638003894856
20132800050;946108798;1560.0;;;
20132800050;946108805;;0.0;0.0;
20132800050;946108806;;;;0.0
20132800050;946112398;1560.0;;;
20132800050;946112405;;0.0;0.0;
20132800050;946112406;;;;0.0
20132800050;946115998;1560.0;;;
20132800050;946116005;;587.9562142460836;31733.947028504343;
20132800050;946116006;;;;33203.837564119545
20132800050;946119598;1560.0;;;
20132800050;946119605;;722.9825343462035;39021.76538247051;
20132800050;946119606;;;;40829.22171833602
20132800050;946123198;1560.0;;;
20132800050;946123205;;538.4117517212162;29059.868055913;
20132800050;946123206;;;;30405.89743521604
20132800050;946126798;1560.0;;;
20132800050;946126805;;1459.8962335073466;78795.44193718628;
20132800050;946126806;;;;82445.18252095465
20132800050;946130398;1560.0;;;
20132800050;946130405;;1560.0;84198.3742410909;
20132800050;946130406;;;;4680000.0
20132800050;946133998;1560.0;;;
20132800050;946134005;;1560.0;84198.3742410909;
20132800050;946134006;;;;4680000.0
20132800050;946137598;1560.0;;;
20132800050;946137605;;1560.0;84198.3742410909;
20132800050;946137606;;;;4680000.0
20132800050;946141198;1560.0;;;
20132800050;946141205;;1560.0;84198.3742410909;
20132800050;946141206;;;;4680000.0
20132800050;946144798;1560.0;;;
20132800050;946144805;;1560.0;84198.3742410909;
20132800050;946144806;;;;4680000.0
20132800050;946148398;1560.0;;;
20132800050;946148405;;1560.0;84198.3742410909;
20132800050;946148406;;;;4680000.0
20132800050;946151998;1560.0;;;
20132800050;946152005;;1560.0;84198.3742410909;
20132800050;946152006;;;;4680000.0
20132800050;946155598;1560.0;;;
20132800050;946155605;;1560.0;84198.3742410909;
20132800050;946155606;;;;4680000.0
20132800050;946159198;1560.0;;;
20132800050;946159205;;1560.0;84198.3742410909;
20132800050;946159206;;;;4680000.0
20132800050;946162798;1560.0;;;
20132800050;946162805;;1560.0;84198.3742410909;
20132800050;946162806;;;;4680000.0
20132800050;946166398;1560.0;;;
20132800050;946166405;;1560.0;84198.3742410909;
20132800050;946166406;;;;4680000.0
20132800050;946169998;1560.0;;;
20132800050;946170005;;1560.0;84198.3742410909;
20132800050;946170006;;;;4680000.0
20132800050;946173598;1560.0;;;
20132800050;946173605;;1560.0;84198.3742410909;
20132800050;946173606;;;;4680000.0
20132800050;946177198;1560.0;;;
20132800050;946177205;;1560.0;84198.3742410909;
20132800050;946177206;;;;4680000.0
20132800050;946180798;1560.0;;;
20132800050;946180805;;1560.0;84198.3742410909;
20132800050;946180806;;;;4680000.0
20132800050;946184398;1560.0;;;
20132800050;946184405;;1560.0;84198.3742410909;
20132800050;946184406;;;;4680000.0
20132800050;946187998;1560.0;;;
20132800050;946188005;;1560.0;84198.3742410909;
20132800050;946188006;;;;4680000.0
20132800050;946191598;1560.0;;;
20132800050;946191605;;1560.0;84198.3742410909;
20132800050;946191606;;;;4680000.0
20132800050;946195198;1560.0;;;
20132800050;946195205;;1560.0;84198.3742410909;
20132800050;946195206;;;;4680000.0
20132800050;946198798;1560.0;;;
20132800050;946198805;;1560.0;84198.3742410909;
20132800050;946198806;;;;4680000.0
20132800050;946202398;1560.0;;;
20132800050;946202405;;1560.0;84198.3742410909;
20132800050;946202406;;;;4680000.0
20132800050;946205998;1560.0;;;
20132800050;946206005;;1560.0;84198.3742410909;
20132800050;946206006;;;;4680000.0
20132800050;946209598;1560.0;;;
20132800050;946209605;;1560.0;84198.3742410909;
20132800050;946209606;;;;4680000.0
20132800050;946213198;1560.0;;;
20132800050;946213205;;1560.0;84198.3742410909;
20132800050;946213206;;;;4680000.0
