AgentId;TimeStep;RequestedEnergyInMWH;AwardedEnergyInMWH
5;946079999;10850.3188;
5;946080004;;0.0
5;946083599;10419.5774;
5;946083604;;0.0
5;946087199;9946.1491;
5;946087204;;0.0
5;946090799;9585.4245;
5;946090804;;0.0
5;946094399;9594.4342;
5;946094404;;0.0
5;946097999;9932.4152;
5;946098004;;0.0
5;946101599;10444.0138;
5;946101604;;0.0
5;946105199;10906.107;
5;946105204;;0.0
5;946108799;11198.156;
5;946108804;;0.0
5;946112399;11228.8735;
5;946112404;;0.0
5;946115999;11778.5454;
5;946116004;;0.0
5;946119599;12171.5683;
5;946119604;;0.0
5;946123199;12153.2795;
5;946123204;;0.0
5;946126799;12215.2046;
5;946126804;;0.0
5;946130399;12178.9524;
5;946130404;;0.0
5;946133999;12144.2713;
5;946134004;;0.0
5;946137599;12473.8357;
5;946137604;;0.0
5;946141199;13751.8767;
5;946141204;;0.0
5;946144799;13985.3171;
5;946144804;;0.0
5;946148399;13702.3842;
5;946148404;;0.0
5;946151999;13382.9629;
5;946152004;;0.0
5;946155599;12462.626;
5;946155604;;0.0
5;946159199;11812.8776;
5;946159204;;0.0
5;946162799;11020.182;
5;946162804;;0.0
5;946166399;10228.0892;
5;946166404;;0.0
5;946169999;9766.0732;
5;946170004;;0.0
5;946173599;9578.9584;
5;946173604;;0.0
5;946177199;9587.003;
5;946177204;;0.0
5;946180799;9703.6178;
5;946180804;;0.0
5;946184399;10217.8866;
5;946184404;;0.0
5;946187999;11446.0696;
5;946188004;;0.0
5;946191599;13742.7976;
5;946191604;;0.0
5;946195199;16047.5436;
5;946195204;;0.0
5;946198799;16571.6525;
5;946198804;;0.0
5;946202399;16562.5133;
5;946202404;;0.0
5;946205999;16653.6512;
5;946206004;;0.0
5;946209599;16315.0357;
5;946209604;;0.0
5;946213199;16312.6578;
5;946213204;;0.0
5;946216799;16279.1036;
5;946216804;;0.0
5;946220399;15877.6541;
5;946220404;;0.0
5;946223999;15837.2672;
5;946224004;;0.0
5;946227599;16021.2466;
5;946227604;;0.0
5;946231199;15685.9301;
5;946231204;;0.0
5;946234799;15289.5649;
5;946234804;;0.0
5;946238399;14516.3515;
5;946238404;;0.0
5;946241999;13375.6981;
5;946242004;;0.0
5;946245599;12452.3525;
5;946245604;;0.0
5;946249199;11377.0525;
5;946249204;;0.0
5;946252799;10186.6295;
5;946252804;;0.0
5;946256399;9662.2312;
5;946256404;;0.0
5;946259999;9482.5822;
5;946260004;;0.0
5;946263599;9534.4061;
5;946263604;;0.0
5;946267199;9740.1123;
5;946267204;;0.0
5;946270799;10218.9247;
5;946270804;;0.0
5;946274399;10890.9629;
5;946274404;;0.0
5;946277999;11791.1564;
5;946278004;;0.0
5;946281599;12499.0492;
5;946281604;;0.0
5;946285199;13149.1073;
5;946285204;;0.0
5;946288799;13671.7953;
5;946288804;;0.0
5;946292399;13707.7186;
5;946292404;;0.0
5;946295999;13500.8225;
5;946296004;;0.0
5;946299599;13355.8673;
5;946299604;;0.0
5;946303199;13236.4344;
5;946303204;;0.0
5;946306799;13251.1678;
5;946306804;;0.0
5;946310399;13660.6786;
5;946310404;;0.0
5;946313999;14403.2316;
5;946314004;;0.0
5;946317599;14324.0827;
5;946317604;;0.0
5;946321199;14176.7803;
5;946321204;;0.0
5;946324799;13615.5061;
5;946324804;;0.0
5;946328399;12862.98;
5;946328404;;0.0
5;946331999;12124.0838;
5;946332004;;0.0
5;946335599;11193.7984;
5;946335604;;0.0
5;946339199;10124.7782;
5;946339204;;0.0
5;946342799;9590.9618;
5;946342804;;0.0
5;946346399;9290.2467;
5;946346404;;0.0
5;946349999;9321.2853;
5;946350004;;0.0
5;946353599;9473.6292;
5;946353604;;0.0
5;946357199;9881.5049;
5;946357204;;0.0
5;946360799;10358.4294;
5;946360804;;0.0
5;946364399;10886.9746;
5;946364404;;0.0
5;946367999;11181.0198;
5;946368004;;0.0
5;946371599;11634.8145;
