AgentId;TimeStep;OfferedEnergyInMWH;AwardedEnergyInMWH;EnergyImbalaceInMWH;ReceivedMarketRevenues
2;946079999;2114.2222598970857;;;
2;946080004;;2111.390259897086;0.0;
2;946083599;1991.1333629737474;;;
2;946083604;;1988.3013629737472;0.0;
2;946087199;2022.310675412979;;;
2;946087204;;2019.4786754129789;0.0;
2;946090799;2118.3058826675597;;;
2;946090804;;2115.47388266756;0.0;
2;946094399;1971.5508389752672;;;
2;946094404;;1968.718838975267;0.0;
2;946097999;1896.2551946342396;;;
2;946098004;;1893.4231946342395;0.0;
2;946101599;1747.0715478954587;;;
2;946101604;;1744.2395478954586;0.0;
2;946105199;1658.5848747845796;;;
2;946105204;;1631.960145710947;0.0;
2;946108799;1713.0434520717845;;;
2;946108804;;1572.19208641579;0.0;
2;946112399;1740.5206277899335;;;
2;946112404;;1565.9908564269176;0.0;
2;946115999;1622.216233368706;;;
2;946116004;;1412.9435745238502;0.0;
2;946119599;1542.4637423298802;;;
2;946119604;;1285.6952305961381;0.0;
2;946123199;1506.1625739821095;;;
2;946123204;;1246.6781983017556;0.0;
2;946126799;1349.867727563401;;;
2;946126804;;1143.281163922919;0.0;
2;946130399;1060.1215747749027;;;
2;946130404;;963.6128619742224;0.0;
2;946133999;975.547420830875;;;
2;946134004;;968.834764892115;0.0;
2;946137599;874.2186687398827;;;
2;946137604;;871.3866687398827;0.0;
2;946141199;849.0452052382974;;;
2;946141204;;846.2132052382974;0.0;
2;946144799;1135.6890335911185;;;
2;946144804;;1132.8570335911184;0.0;
2;946148399;1194.2395314592072;;;
2;946148404;;1191.4075314592071;0.0;
2;946151999;1014.6709541778147;;;
2;946152004;;1011.8389541778147;0.0;
2;946155599;880.1165403726784;;;
2;946155604;;877.2845403726784;0.0;
2;946159199;872.1474139104914;;;
2;946159204;;869.3154139104914;0.0;
2;946162799;776.6840079463108;;;
2;946162804;;773.8520079463108;0.0;
2;946166399;793.2908291651261;;;
2;946166404;;790.4588291651261;0.0;
2;946169999;795.2129170527022;;;
2;946170004;;792.3809170527022;0.0;
2;946173599;728.7104446271677;;;
2;946173604;;725.8784446271677;0.0;
2;946177199;733.4876811645806;;;
2;946177204;;730.6556811645806;0.0;
2;946180799;714.5491215114881;;;
2;946180804;;711.7171215114881;0.0;
2;946184399;667.7041333490016;;;
2;946184404;;664.8721333490016;0.0;
2;946187999;656.2993436427814;;;
2;946188004;;653.4673436427814;0.0;
2;946191599;527.0164768512357;;;
2;946191604;;509.4312927614546;0.0;
2;946195199;604.7658774324326;;;
2;946195204;;452.75641682900965;0.0;
2;946198799;619.723051978361;;;
2;946198804;;428.56817255199815;0.0;
2;946202399;548.2240155879718;;;
2;946202404;;342.86695999999966;0.0;
2;946205999;479.0536750719945;;;
2;946206004;;260.8681440158067;0.0;
2;946209599;447.78125839994357;;;
2;946209604;;259.2869753468005;0.0;
2;946213199;417.7217969165945;;;
2;946213204;;277.3259509431382;0.0;
2;946216799;404.4309242217033;;;
2;946216804;;340.22660297930315;0.0;
2;946220399;358.8913672719344;;;
2;946220404;;353.04036937146225;0.0;
2;946223999;293.0393288615323;;;
2;946224004;;290.2073288615323;0.0;
2;946227599;262.0309647433614;;;
2;946227604;;259.1989647433614;0.0;
2;946231199;275.3343675697613;;;
