AgentId;TimeStep;OfferedPowerInMW;AwardedPowerInMWH;ReceivedMoneyInEUR;CostsInEUR
501;599183998;258.72;;;
501;599184002;;0.0;-0.0;0.0
501;599187598;258.72;;;
501;599187602;;0.0;-0.0;0.0
501;599191198;258.72;;;
501;599191202;;0.0;-0.0;0.0
501;599194798;258.72;;;
501;599194802;;0.0;-0.0;0.0
501;599198398;258.72;;;
501;599198402;;0.0;-0.0;0.0
501;599201998;258.72;;;
501;599202002;;0.0;0.0;0.0
501;599205598;258.72;;;
501;599205602;;0.0;0.0;0.0
501;599209198;258.72;;;
501;599209202;;0.0;0.0;0.0
501;599212798;258.72;;;
501;599212802;;0.0;0.0;0.0
501;599216398;258.72;;;
501;599216402;;0.0;0.0;0.0
501;599219998;258.72;;;
501;599220002;;0.0;0.0;0.0
501;599223598;258.72;;;
501;599223602;;0.0;0.0;0.0
501;599227198;258.72;;;
501;599227202;;0.0;0.0;0.0
501;599230798;258.72;;;
501;599230802;;0.0;0.0;0.0
501;599234398;258.72;;;
501;599234402;;0.0;0.0;0.0
501;599237998;258.72;;;
501;599238002;;0.0;0.0;0.0
501;599241598;258.72;;;
501;599241602;;0.0;0.0;0.0
501;599245198;258.72;;;
501;599245202;;0.0;0.0;0.0
501;599248798;258.72;;;
501;599248802;;0.0;0.0;0.0
501;599252398;258.72;;;
501;599252402;;0.0;0.0;0.0
501;599255998;258.72;;;
501;599256002;;0.0;0.0;0.0
501;599259598;258.72;;;
501;599259602;;0.0;0.0;0.0
501;599263198;258.72;;;
501;599263202;;0.0;0.0;0.0
501;599266798;258.72;;;
501;599266802;;0.0;0.0;0.0
501;599270398;258.72;;;
501;599270402;;0.0;0.0;0.0
501;599273998;258.72;;;
501;599274002;;0.0;0.0;0.0
501;599277598;258.72;;;
501;599277602;;0.0;0.0;0.0
501;599281198;258.72;;;
501;599281202;;0.0;0.0;0.0
501;599284798;258.72;;;
501;599284802;;0.0;0.0;0.0
501;599288398;258.72;;;
501;599288402;;0.0;0.0;0.0
501;599291998;258.72;;;
501;599292002;;0.0;0.0;0.0
501;599295598;258.72;;;
501;599295602;;0.0;0.0;0.0
501;599299198;258.72;;;
501;599299202;;0.0;0.0;0.0
501;599302798;258.72;;;
501;599302802;;0.0;0.0;0.0
501;599306398;258.72;;;
501;599306402;;0.0;0.0;0.0
501;599309998;258.72;;;
501;599310002;;0.0;0.0;0.0
501;599313598;258.72;;;
501;599313602;;0.0;0.0;0.0
501;599317198;258.72;;;
501;599317202;;0.0;0.0;0.0
501;599320798;258.72;;;
501;599320802;;0.0;0.0;0.0
501;599324398;258.72;;;
501;599324402;;0.0;0.0;0.0
501;599327998;258.72;;;
501;599328002;;0.0;0.0;0.0
501;599331598;258.72;;;
501;599331602;;0.0;0.0;0.0
501;599335198;258.72;;;
501;599335202;;0.0;0.0;0.0
501;599338798;258.72;;;
501;599338802;;0.0;0.0;0.0
501;599342398;258.72;;;
501;599342402;;0.0;0.0;0.0
