AgentId;TimeStep;RequestedEnergyInMWH;AwardedEnergyInMWH
100;599183999;3286.0;
100;599184001;;3286.0
100;599187599;2980.0;
100;599187601;;2980.0
100;599191199;2499.0;
100;599191201;;2499.0
100;599194799;2304.0;
100;599194801;;2304.0
100;599198399;2124.0;
100;599198401;;2124.0
100;599201999;2270.0;
100;599202001;;2270.0
100;599205599;2448.0;
100;599205601;;2448.0
100;599209199;2742.0;
100;599209201;;2742.0
100;599212799;2962.0;
100;599212801;;2962.0
100;599216399;3127.0;
100;599216401;;3127.0
100;599219999;3255.0;
100;599220001;;3255.0
100;599223599;3403.0;
100;599223601;;3403.0
100;599227199;3609.0;
100;599227201;;3609.0
100;599230799;3968.0;
100;599230801;;3968.0
100;599234399;4041.0;
100;599234401;;4041.0
100;599237999;4267.0;
100;599238001;;4267.0
100;599241599;4616.0;
100;599241601;;4616.0
100;599245199;5443.0;
100;599245201;;5443.0
100;599248799;5457.0;
100;599248801;;5457.0
100;599252399;5214.0;
100;599252401;;5214.0
100;599255999;5144.0;
100;599256001;;5144.0
100;599259599;4675.0;
100;599259601;;4675.0
100;599263199;4542.0;
100;599263201;;4542.0
100;599266799;4393.0;
100;599266801;;4393.0
100;599270399;4395.0;
100;599270401;;4395.0
100;599273999;4220.0;
100;599274001;;4220.0
100;599277599;3889.0;
100;599277601;;3889.0
100;599281199;3725.0;
100;599281201;;3725.0
100;599284799;4045.0;
100;599284801;;4045.0
100;599288399;4984.0;
100;599288401;;4984.0
100;599291999;5516.0;
100;599292001;;5516.0
100;599295599;6810.0;
100;599295601;;6810.0
100;599299199;7996.0;
100;599299201;;7996.0
100;599302799;8176.0;
100;599302801;;8176.0
100;599306399;8138.0;
100;599306401;;8138.0
100;599309999;7846.0;
100;599310001;;7846.0
100;599313599;7832.0;
100;599313601;;7832.0
100;599317199;8168.0;
100;599317201;;8168.0
100;599320799;8299.0;
100;599320801;;8299.0
100;599324399;8462.0;
100;599324401;;8462.0
100;599327999;8541.0;
100;599328001;;8541.0
100;599331599;8898.0;
100;599331601;;8898.0
100;599335199;8953.0;
100;599335201;;8953.0
100;599338799;8731.0;
100;599338801;;8731.0
100;599342399;8478.0;
100;599342401;;8478.0
100;599345999;7913.0;
100;599346001;;7913.0
100;599349599;7721.0;
100;599349601;;7721.0
100;599353199;7428.0;
100;599353201;;7428.0
100;599356799;6670.0;
100;599356801;;6670.0
100;599360399;6605.0;
100;599360401;;6605.0
100;599363999;6537.0;
100;599364001;;6537.0
100;599367599;6381.0;
100;599367601;;6381.0
100;599371199;6340.0;
100;599371201;;6340.0
100;599374799;6649.0;
100;599374801;;6649.0
100;599378399;7877.0;
100;599378401;;7877.0
100;599381999;9436.0;
100;599382001;;9436.0
100;599385599;9792.0;
100;599385601;;9792.0
100;599389199;8768.0;
100;599389201;;8768.0
100;599392799;8780.0;
100;599392801;;8780.0
100;599396399;9627.0;
100;599396401;;9627.0
100;599399999;10478.0;
100;599400001;;10478.0
100;599403599;11031.0;
100;599403601;;11031.0
100;599407199;9828.0;
100;599407201;;9828.0
100;599410799;9823.0;
100;599410801;;9823.0
100;599414399;9925.0;
100;599414401;;9925.0
100;599417999;10977.0;
100;599418001;;10977.0
100;599421599;9993.0;
100;599421601;;9993.0
100;599425199;9793.0;
100;599425201;;9793.0
100;599428799;9487.0;
100;599428801;;9487.0
100;599432399;8175.0;
100;599432401;;8175.0
100;599435999;8142.0;
100;599436001;;8142.0
100;599439599;7885.0;
100;599439601;;7885.0
100;599443199;7317.0;
100;599443201;;7317.0
100;599446799;7160.0;
100;599446801;;7160.0
100;599450399;7035.0;
100;599450401;;7035.0
100;599453999;6666.0;
100;599454001;;6666.0
100;599457599;6370.0;
100;599457601;;6370.0
100;599461199;7041.0;
100;599461201;;7041.0
100;599464799;7597.0;
100;599464801;;7597.0
100;599468399;8155.0;
100;599468401;;8155.0
100;599471999;8121.0;
100;599472001;;8121.0
100;599475599;8410.0;
100;599475601;;8410.0
100;599479199;8351.0;
100;599479201;;8351.0
100;599482799;8255.0;
100;599482801;;8255.0
100;599486399;8031.0;
100;599486401;;8031.0
