# Renewables.ninja Heating & cooling demand (Point API) - 52.243; 5.634 - Version: 1.0 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/xxxxxxx;;;;;;;;;;;;;;;;;;;;
# Units: time in UTC; local_time in Europe/Amsterdam; total_demand in unknown; heating_demand in unknown; cooling_demand in unknown;;;;;;;;;;;;;;;;;
"# {""units"": {""time"": ""UTC""";" ""local_time"": ""Europe/Amsterdam""";" ""total_demand"": ""unknown""";" ""heating_demand"": ""unknown""";" ""cooling_demand"": ""unknown""}";" ""params"": {""local_time"": true";" ""header"": true";" ""lat"": ""52.2434979""";" ""lon"": ""5.6343227""";" ""date_from"": ""2015-01-01""";" ""date_to"": ""2015-12-31""";" ""dataset"": ""merra2""";" ""heating_threshold"": ""14""";" ""cooling_threshold"": ""20""";" ""base_power"": ""0""";" ""heating_power"": ""0.3""";" ""cooling_power"": ""0.15""";" ""smoothing"": ""0.5""";" ""solar_gains"": ""0.012""";" ""wind_discomfort"": ""-0.2""";" ""humidity_discomfort"": ""0.05""";" ""use_diurnal_profile"": true}}"
time;local_time;total_demand;heating_demand;cooling_demand;;;;;;;;;;;;;;;;;
1-1-2015 00:00;1-1-2015 01:00;4.246;4.246;0;;;;;;;;;;;;;;;;;
1-1-2015 01:00;1-1-2015 02:00;4.215;4.215;0;;;;;;;;;;;;;;;;;
1-1-2015 02:00;1-1-2015 03:00;4.136;4.136;0;;;;;;;;;;;;;;;;;
1-1-2015 03:00;1-1-2015 04:00;4.027;4.027;0;;;;;;;;;;;;;;;;;
1-1-2015 04:00;1-1-2015 05:00;3.945;3.945;0;;;;;;;;;;;;;;;;;
1-1-2015 05:00;1-1-2015 06:00;3.943;3.943;0;;;;;;;;;;;;;;;;;
1-1-2015 06:00;1-1-2015 07:00;4.025;4.025;0;;;;;;;;;;;;;;;;;
1-1-2015 07:00;1-1-2015 08:00;4.046;4.046;0;;;;;;;;;;;;;;;;;
1-1-2015 08:00;1-1-2015 09:00;3.984;3.984;0;;;;;;;;;;;;;;;;;
1-1-2015 09:00;1-1-2015 10:00;3.832;3.832;0;;;;;;;;;;;;;;;;;
