# Renewables.ninja Weather (Point API) - 52.243, 5.634 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://doi.org/10.1175/JCLI-D-16-0758.1
# Units: time in UTC, local_time in Europe/Amsterdam, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Amsterdam", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "52.2434979", "lon": "5.6343227", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "merra2", "var_temperature": true, "var_precipitation": false, "var_snowfall": false, "var_snow_mass": false, "var_snow_depth": false, "var_air_density": false, "var_radiation_global_horizontal": false, "var_radiation_direct_horizontal": false, "var_diffuse_fraction": false, "var_radiation_toa": false, "var_cloud_cover": false, "var_temperature_dewpoint": false, "var_temperature_wetbulb": false, "var_humidity": false, "var_wind_speed_2m": false}}
time,local_time,temperature
2015-01-01 00:00,2015-01-01 01:00,1.182
2015-01-01 01:00,2015-01-01 02:00,0.883
2015-01-01 02:00,2015-01-01 03:00,0.561
2015-01-01 03:00,2015-01-01 04:00,0.366
2015-01-01 04:00,2015-01-01 05:00,0.307
2015-01-01 05:00,2015-01-01 06:00,0.257
2015-01-01 06:00,2015-01-01 07:00,0.210
2015-01-01 07:00,2015-01-01 08:00,-0.150
2015-01-01 08:00,2015-01-01 09:00,0.048
2015-01-01 09:00,2015-01-01 10:00,0.736
2015-01-01 10:00,2015-01-01 11:00,1.575
2015-01-01 11:00,2015-01-01 12:00,2.420
2015-01-01 12:00,2015-01-01 13:00,2.829
2015-01-01 13:00,2015-01-01 14:00,2.926
2015-01-01 14:00,2015-01-01 15:00,2.696
2015-01-01 15:00,2015-01-01 16:00,2.053
2015-01-01 16:00,2015-01-01 17:00,1.870
2015-01-01 17:00,2015-01-01 18:00,1.857
2015-01-01 18:00,2015-01-01 19:00,1.886
2015-01-01 19:00,2015-01-01 20:00,1.907
2015-01-01 20:00,2015-01-01 21:00,1.949
2015-01-01 21:00,2015-01-01 22:00,1.962
2015-01-01 22:00,2015-01-01 23:00,2.082
2015-01-01 23:00,2015-01-02 00:00,2.369
