,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,0.4465,0.9119,0.0829,0.2413,0.9086,0.46,0.2741,0.461,0.4034,0.0778,0.0034,0.4739,0.3412,0.0071,0.2039,0.4674,0.1534,0.3563,0.1257,0.3197,0.1616,0.6727,0.2141,0.0923,0.1428,0.0983,0.2523,0.8814,0.008,0.012,0.4227,0.3809,0.4658,0.6354,0.3719,0.298,0.3441,0.4008,0.8313,0.4009
1,0.4308,0.9239,0.0656,0.2526,0.919,0.5172,0.2615,0.3593,0.4346,0.0819,0.0029,0.4968,0.3772,0.0112,0.2477,0.4914,0.15,0.3494,0.1189,0.2982,0.167,0.7229,0.1889,0.0838,0.1421,0.1059,0.2393,0.872,0.0114,0.0139,0.426,0.4134,0.4785,0.5393,0.3292,0.282,0.2756,0.3924,0.8464,0.429
2,0.4081,0.9269,0.0551,0.2583,0.9234,0.5558,0.2515,0.2533,0.4549,0.0907,0.0044,0.5312,0.3806,0.0151,0.2902,0.5361,0.1485,0.3575,0.1226,0.2878,0.1779,0.75,0.1858,0.0779,0.1894,0.1084,0.215,0.8825,0.018,0.0163,0.4305,0.429,0.491,0.4524,0.323,0.2904,0.2335,0.3752,0.8153,0.463
3,0.3781,0.9201,0.0525,0.2712,0.9233,0.5773,0.2535,0.2007,0.4664,0.0962,0.007,0.5201,0.4126,0.0157,0.3101,0.6213,0.1518,0.3571,0.1325,0.2938,0.1873,0.7558,0.2109,0.075,0.2471,0.1169,0.2117,0.8992,0.0249,0.0156,0.408,0.4475,0.4814,0.3842,0.3379,0.3099,0.1742,0.3601,0.7659,0.5017
4,0.3478,0.9068,0.0504,0.2915,0.9149,0.6199,0.2629,0.1489,0.4694,0.096,0.0108,0.4826,0.4561,0.0155,0.3152,0.6509,0.1591,0.3508,0.1517,0.3116,0.1969,0.7616,0.2442,0.079,0.2872,0.142,0.2068,0.9092,0.0312,0.0135,0.4008,0.4425,0.5016,0.3113,0.3471,0.314,0.1183,0.366,0.7102,0.5305
5,0.3092,0.8981,0.0486,0.3206,0.9015,0.6277,0.2584,0.0895,0.4873,0.0962,0.0154,0.4388,0.4978,0.0179,0.3075,0.6746,0.1687,0.3426,0.1698,0.322,0.2053,0.7612,0.2783,0.0971,0.3018,0.1634,0.2087,0.9101,0.0388,0.012,0.3472,0.4156,0.5242,0.2374,0.3768,0.3326,0.0763,0.3546,0.6792,0.5427
6,0.269,0.8888,0.0517,0.3478,0.8904,0.6118,0.2531,0.0506,0.5086,0.0952,0.0189,0.4093,0.5836,0.0231,0.3003,0.6914,0.1843,0.3319,0.1978,0.3151,0.193,0.7563,0.3033,0.1297,0.3144,0.1892,0.2208,0.8964,0.0452,0.0126,0.3243,0.3835,0.5539,0.1886,0.4116,0.3631,0.0436,0.3386,0.6459,0.5459
7,0.2286,0.8885,0.0579,0.3752,0.8754,0.5859,0.2488,0.0338,0.5339,0.0918,0.0201,0.3931,0.6066,0.03,0.2947,0.6875,0.1947,0.3191,0.2323,0.2734,0.1879,0.7111,0.3093,0.1684,0.3169,0.2224,0.2228,0.8496,0.0492,0.016,0.3056,0.3439,0.5392,0.1795,0.421,0.3822,0.0239,0.3244,0.6062,0.5253
8,0.2001,0.8823,0.0649,0.4074,0.8592,0.6086,0.24,0.0308,0.5674,0.0832,0.0179,0.3717,0.6302,0.0375,0.2792,0.6574,0.1929,0.3089,0.2629,0.2419,0.1762,0.6867,0.3031,0.2159,0.3312,0.2459,0.2112,0.7739,0.0501,0.0189,0.276,0.2947,0.5021,0.197,0.463,0.4266,0.0146,0.3321,0.6014,0.504
9,0.1939,0.8744,0.0692,0.4351,0.8446,0.6769,0.2252,0.0381,0.6011,0.0708,0.0113,0.3533,0.629,0.0394,0.2339,0.6485,0.1778,0.2909,0.2973,0.1998,0.1684,0.6796,0.2765,0.2607,0.3453,0.2434,0.1776,0.7159,0.0459,0.0212,0.2396,0.2489,0.4803,0.2045,0.4825,0.4044,0.012,0.3237,0.5756,0.4705
