;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
0;2841.92784;1956.542988;3158.695953;3372.729809;1525.940363;2826.121327;5927.587018;1859.369557;1778.384356;1896.15444;3908.507906;2144.566306;2650.607507;4556.859572;2668.279561;2435.206357;4086.622191;10119.25302;2113.074085;2641.048347;2436.352351;3753.544788;3247.16863;5275.133621;3992.053292;1980.7572;2856.537693;733.4954138;2773.781264;4983.33589;4040.302297;2887.134492;1023.055422;1573.092005;2225.16073;3003.668968;1977.365046;3246.162548;1553.267659;1517.655475
1;2940.747957;2032.257946;3286.184656;3520.647046;1534.488936;2831.872603;6194.302428;1965.341082;1797.738501;1931.828264;3958.975488;2327.27625;2678.32472;4877.943384;2809.92722;2504.062819;4146.081233;10493.19923;2163.641806;2732.60178;2425.343366;3759.520046;3364.732955;5243.649696;4094.481855;2084.610151;2905.586333;896.7068441;2858.328692;4993.148675;4119.033285;2902.083001;1000.627405;1676.998311;2231.918934;3140.403091;1975.413393;3376.543712;1645.425279;1521.195694
2;3067.091374;2123.122193;3446.879189;3677.879726;1593.076983;2830.702586;6323.309636;2167.751776;1858.156981;1962.616114;4079.83651;2435.270516;2734.76856;5190.06359;2975.31517;2583.1772;4250.456063;10820.71323;2227.971291;2789.734447;2432.923881;3773.511448;3517.806546;5164.452434;4206.222904;2215.870022;2972.390924;1080.191688;2980.192441;5022.658709;4131.501546;2948.73051;1017.086607;1782.593556;2271.548582;3282.174363;2028.259156;3575.853348;1715.290737;1551.379955
3;3421.185674;2401.347083;3829.996938;4137.339878;1790.787938;3001.907352;6675.158705;2546.479986;2073.861883;2125.975289;4459.174313;2731.395482;2982.908898;5723.392996;3328.566504;2839.987412;4608.82916;11680.9976;2460.391084;3062.66051;2602.767715;4046.565387;3888.367312;5337.315;4589.21988;2488.936943;3237.400714;1269.777915;3299.307392;5325.115539;4475.81783;3189.245795;1143.310413;1984.714542;2536.028365;3644.776219;2313.085701;4056.540798;1885.080648;1709.736308
4;4018.692851;2932.990941;4482.407175;4944.875155;2166.268094;3373.326359;7495.858095;3027.233085;2522.140454;2513.60589;5171.367944;3324.025881;3491.624023;6624.534916;3924.353588;3361.327918;5277.729785;13145.9674;2934.685298;3618.614801;3002.164503;4628.674768;4543.583888;5844.332528;5280.640045;2953.014558;3771.019256;1585.113051;3860.380841;6001.951046;5186.669073;3679.064154;1425.680221;2328.921211;3097.489734;4269.45336;2792.664643;4873.588937;2286.535516;2036.23956
5;5133.011717;3850.019752;5690.228379;6442.342649;2785.544862;4129.329191;9339.799493;3883.36021;3304.030693;3232.24759;6551.749501;4342.396825;4423.774462;8416.3916;5018.758918;4350.132192;6633.669149;16410.10909;3824.897947;4606.503054;3709.315199;5758.804559;5827.948511;7027.494701;6630.665767;3789.274901;4811.411557;2102.429411;4908.059454;7556.856882;6694.560232;4626.756672;1818.196048;2898.205178;4081.695788;5474.724329;3571.611392;6423.557983;3051.611332;2586.939861
6;6006.435037;4652.338416;6564.790765;7723.249942;3234.027617;4746.65288;10576.31997;4579.294321;3930.3809;3854.566022;7613.728882;5127.476352;5088.07452;9958.645808;5861.47461;5253.671746;7677.642411;18956.06475;4533.39677;5322.281321;4171.893673;6502.862509;6825.43972;7765.588076;7642.54234;4484.31335;5642.636147;2545.162561;5733.374764;8792.324774;8057.026437;5344.908036;2092.98398;3334.191122;4867.521084;6434.051099;4143.14959;7704.567154;3778.5273;2972.130317
7;6158.773134;4888.895942;6469.777963;7952.396846;3331.204616;4778.449632;10183.28721;4730.72946;4093.370706;4038.805609;7626.175994;5244.38811;5171.697099;10184.99422;5864.705955;5502.40223;7650.064791;18612.34049;4651.315522;5391.108885;4156.821639;6335.432135;7009.645413;7457.993898;7571.983268;4599.575662;5776.38886;2881.55956;5863.062452;8759.871242;8320.470124;5425.442587;2230.490557;3466.296252;5051.560598;6602.559019;4279.295257;7896.349912;4122.800726;3082.317329
8;6511.833165;5229.38824;6543.083623;8367.649372;3489.66592;4963.988567;10350.38953;5037.714866;4364.696014;4187.971026;7679.598249;5388.277699;5400.778884;10518.55055;5911.247488;5860.639338;7879.712546;19234.56243;4875.153162;5535.75503;4279.99213;6522.434848;7128.405989;7469.79791;7862.768012;4644.049875;6060.850527;3330.96462;6137.990657;8876.567405;8636.841836;5785.795226;2410.777465;3730.051091;5215.084095;6859.594195;4590.198527;8246.589369;4441.847195;3273.211937
9;6366.900071;5200.399503;6195.365666;7939.387113;3444.62267;4900.165969;9867.377026;5086.278293;4379.118257;3847.50889;7220.925912;5066.49754;5259.288682;9420.204178;5436.825318;5779.37433;7561.816061;18365.61389;4721.797807;5162.858273;4095.151563;6343.50054;6440.913521;7060.775884;7665.493076;4416.563021;5896.90575;3511.953408;6068.935382;8297.024955;8047.849592;5763.320203;2452.929581;3757.021831;4889.51326;6510.300478;4428.929112;7961.659961;4351.371306;3273.776009
10;6206.672533;5075.56262;5826.833543;7200.992889;3366.531241;4915.089242;9313.938421;5127.775097;4326.203488;3589.436425;6853.53808;4763.227619;4994.224121;8568.842585;5066.324556;5700.436869;7180.663732;17355.21117;4457.574948;4692.728933;3863.647882;6120.187033;6003.63124;6718.465919;7440.196012;4183.776494;5671.20368;3548.949006;5930.878901;7671.310452;7577.807438;5606.817711;2456.15222;3726.186494;4532.485776;6126.21945;4229.365097;7594.506426;4165.87388;3196.769963
11;6069.634436;4944.319532;5515.184483;6574.449307;3318.186824;5021.915593;8819.327042;5221.2902;4237.10813;3474.978284;6694.62886;4489.740702;4686.763665;7888.326191;4827.153066;5715.108997;6889.443282;16539.0838;4138.562097;4239.717759;3672.993512;5865.750987;5709.924787;6405.804639;7252.436318;3924.922578;5431.973825;3546.00491;5718.221005;7003.077946;7293.108944;5512.651102;2472.727255;3710.355129;4241.893094;5751.485089;4069.268506;7302.377444;4009.441081;3136.883156
12;5897.65718;4847.23273;5281.333188;6111.696194;3311.092853;5155.011956;8374.360099;5232.482556;4120.886062;3437.405143;6585.366476;4336.717983;4410.573082;7266.374551;4710.361927;5777.055699;6630.797291;15699.18127;3883.802066;3884.205332;3533.073974;5595.566104;5542.367566;5917.319858;7028.685025;3736.029393;5237.259102;3578.267524;5506.265647;6603.847138;7120.280701;5482.611845;2503.333399;3782.052093;4047.63717;5498.866656;4024.194726;7054.002391;3899.141043;3165.592078
13;5894.745689;4923.656884;5296.718474;6043.582128;3346.858676;5401.18512;8281.884896;5263.621615;4097.196088;3538.884348;6707.054672;4385.283379;4278.183295;7199.962624;4843.212546;5909.203676;6639.364912;15476.74745;3850.991998;3775.933005;3534.649074;5522.760646;5699.400362;5518.317688;7028.731572;3739.467812;5337.188933;3615.526882;5544.020565;6607.952182;7296.77246;5660.663323;2506.893761;4000.064936;4013.983869;5491.709162;4117.515771;7045.180472;3892.427261;3318.006301
14;5922.145021;5039.2593;5345.372823;6155.831832;3323.565537;5567.283469;8220.753116;5142.363314;4029.444568;3871.508777;7048.042435;4492.516388;4165.860248;7643.382703;5204.293163;5918.552158;6683.437117;15736.72261;4001.478341;3903.794255;3914.186566;5483.551385;6083.847378;4892.913374;7022.370786;3868.327504;5632.995875;3622.293007;5802.860587;6789.490661;7824.2354;5939.617772;2526.152846;4271.136967;4010.38404;5533.395224;4232.27218;6955.621329;3973.613786;3555.628952
15;5998.278884;5127.27711;5483.012359;6330.120487;3264.686884;5648.758848;8210.603885;4986.788965;3944.237379;4298.952662;7659.11998;4655.890472;4078.781887;8538.556049;5756.448421;5901.727482;6769.800478;16446.30897;4232.317441;4118.307039;4540.691576;5498.075595;6643.552183;4158.038143;7074.585334;4036.631283;5856.912595;3756.156593;6348.941245;7178.17026;8953.332515;6307.590134;2495.996923;4552.351501;4022.095028;5671.575746;4341.315061;6807.182808;4169.134187;3864.013373
16;5966.946372;5158.059033;5487.133572;6426.22235;3214.397557;5745.666182;8211.674775;4847.136638;3827.901872;4393.145323;7811.397378;4796.221673;4028.240646;9027.402378;5890.46091;5916.054587;6892.1532;17204.7833;4267.6193;4062.765568;4645.374478;5545.51684;6723.008428;3737.844173;7234.840922;4015.799408;5978.530984;3894.92126;6677.793435;7376.85942;9661.885989;6479.64858;2379.977624;4633.714766;3948.959526;5772.885429;4330.779895;6736.215649;4320.864176;4003.791806
17;5869.63134;5078.713383;5352.779194;6425.726073;3128.659975;5782.910402;8217.722902;4590.468548;3637.566574;4361.453311;7844.382762;4834.564597;3952.525779;9339.042594;5913.584839;5843.471314;6985.147168;17797.43984;4226.634135;4038.845472;4560.171481;5580.409912;6715.528135;3458.721368;7356.928412;3852.429929;6059.336472;4046.582826;6900.186187;7455.10079;9987.576212;6583.069441;2224.227663;4606.119801;3800.142028;5789.265492;4314.188842;6653.434592;4367.7164;4025.108648
