ObjectClass,variable,AgentId,value
ConventionalPlantOperator,AwardedPowerInMWH,501,1518161.3634222501
ConventionalPlantOperator,AwardedPowerInMWH,502,4110473.089127128
ConventionalPlantOperator,AwardedPowerInMWH,503,3436068.4305175915
ConventionalPlantOperator,AwardedPowerInMWH,504,0.0
ConventionalPlantOperator,AwardedPowerInMWH,505,0.0
ConventionalPlantOperator,CostsInEUR,501,51265531.66493436
ConventionalPlantOperator,CostsInEUR,502,151928067.06235445
ConventionalPlantOperator,CostsInEUR,503,128513691.07661267
ConventionalPlantOperator,CostsInEUR,504,0.0
ConventionalPlantOperator,CostsInEUR,505,0.0
ConventionalPlantOperator,OfferedPowerInMW,501,2266387.2
ConventionalPlantOperator,OfferedPowerInMW,502,27700872.0
ConventionalPlantOperator,OfferedPowerInMW,503,27700872.0
ConventionalPlantOperator,OfferedPowerInMW,504,10264617.6
ConventionalPlantOperator,OfferedPowerInMW,505,1450130.4000000001
ConventionalPlantOperator,ReceivedMoneyInEUR,501,58568960.191003844
ConventionalPlantOperator,ReceivedMoneyInEUR,502,167777198.76096803
ConventionalPlantOperator,ReceivedMoneyInEUR,503,143083887.95812288
ConventionalPlantOperator,ReceivedMoneyInEUR,504,0.0
ConventionalPlantOperator,ReceivedMoneyInEUR,505,0.0
ConventionalTrader,AwardedPower,1001,1518161.3634222501
ConventionalTrader,AwardedPower,1002,4110473.089127128
ConventionalTrader,AwardedPower,1003,3436068.4305175915
ConventionalTrader,AwardedPower,1004,0.0
ConventionalTrader,AwardedPower,1005,0.0
ConventionalTrader,OfferedPowerInMW,1001,2266387.2
ConventionalTrader,OfferedPowerInMW,1002,27700872.0
ConventionalTrader,OfferedPowerInMW,1003,27700872.0
ConventionalTrader,OfferedPowerInMW,1004,10264617.6
ConventionalTrader,OfferedPowerInMW,1005,1450130.4000000001
DemandTrader,AwardedEnergyInMWH,100,56171750.5
DemandTrader,RequestedEnergyInMWH,100,56171750.5
EnergyExchange,DispatchSystemCostInEUR,1,345079306.03501505
EnergyExchange,ElectricityPriceInEURperMWH,1,298867.34626128676
EnergyExchange,TotalAwardedPowerInMW,1,57428919.38888889
MeritOrderForecaster,AwardedPowerForecast,6,56165139.5
MeritOrderForecaster,ElectricityPriceForecast,6,262109.63090767234
NoSupportTrader,AwardedEnergyInMWH,12,38027717.50590436
NoSupportTrader,EnergyImbalaceInMWH,12,4.545199772110209e-10
NoSupportTrader,OfferedEnergyInMWH,12,38029901.10532485
NoSupportTrader,ReceivedMarketRevenues,12,1295408484.575552
StorageTrader,AwardedChargePower,7,1257168.8888888888
StorageTrader,AwardedDischargePower,7,-1031832.0
StorageTrader,AwardedPower,7,225336.88888888885
StorageTrader,Costs,7,29319488.56359142
StorageTrader,OfferedChargePrice,7,
StorageTrader,OfferedDischargePrice,7,
StorageTrader,OfferedPowerInMW,7,-225336.88888888885
StorageTrader,Profit,7,10052550.074149143
StorageTrader,Revenues,7,39372038.63774056
StorageTrader,StoredMWh,7,71165448.0
SystemOperatorTrader,AwardedEnergyInMWH,13,9304666.999917556
SystemOperatorTrader,EnergyImbalaceInMWH,13,5.1112891696902813e-11
SystemOperatorTrader,OfferedEnergyInMWH,13,9304666.999917556
SystemOperatorTrader,ReceivedMarketRevenues,13,320412363.0399738
SystemOperatorTrader,ReceivedSupportInEUR,13,749516466.3929725
SystemOperatorTrader,RefundedSupportInEUR,13,0.0
VariableRenewableOperator,AwardedPowerInMWH,10,1338332.000073971
VariableRenewableOperator,AwardedPowerInMWH,20,7966334.999843585
VariableRenewableOperator,AwardedPowerInMWH,50,27127225.630324848
VariableRenewableOperator,AwardedPowerInMWH,51,7652328.475
VariableRenewableOperator,AwardedPowerInMWH,52,2181627.0
VariableRenewableOperator,AwardedPowerInMWH,53,1066536.4005795151
VariableRenewableOperator,CostsInEUR,10,0.0
VariableRenewableOperator,CostsInEUR,20,0.0
VariableRenewableOperator,CostsInEUR,50,0.0
VariableRenewableOperator,CostsInEUR,51,0.0
VariableRenewableOperator,CostsInEUR,52,0.0
VariableRenewableOperator,CostsInEUR,53,1279843.6806954183
VariableRenewableOperator,OfferedPowerInMW,10,1338332.000073971
VariableRenewableOperator,OfferedPowerInMW,20,8292926.999911625
VariableRenewableOperator,OfferedPowerInMW,50,27495523.63040045
VariableRenewableOperator,OfferedPowerInMW,51,7674378.475
VariableRenewableOperator,OfferedPowerInMW,52,2218083.0
VariableRenewableOperator,OfferedPowerInMW,53,1089216.0
VariableRenewableOperator,ReceivedMoneyInEUR,10,102650064.4056736
VariableRenewableOperator,ReceivedMoneyInEUR,20,646866401.9872988
VariableRenewableOperator,ReceivedMoneyInEUR,50,914669048.0473399
VariableRenewableOperator,ReceivedMoneyInEUR,51,268405594.08388788
VariableRenewableOperator,ReceivedMoneyInEUR,52,75874646.51975194
VariableRenewableOperator,ReceivedMoneyInEUR,53,36459195.92457232
