ObjectClass,variable,AgentId,value
ConventionalPlantOperator,AwardedPowerInMWH,501,1603058.0885667128
ConventionalPlantOperator,AwardedPowerInMWH,502,5106728.151654731
ConventionalPlantOperator,AwardedPowerInMWH,503,2249460.0209951214
ConventionalPlantOperator,AwardedPowerInMWH,504,32.52742149100144
ConventionalPlantOperator,AwardedPowerInMWH,505,0.0
ConventionalPlantOperator,CostsInEUR,501,54255271.14335391
ConventionalPlantOperator,CostsInEUR,502,190656184.8525525
ConventionalPlantOperator,CostsInEUR,503,95314196.3411315
ConventionalPlantOperator,CostsInEUR,504,1839.862364160296
ConventionalPlantOperator,CostsInEUR,505,0.0
ConventionalPlantOperator,OfferedPowerInMW,501,2266387.2
ConventionalPlantOperator,OfferedPowerInMW,502,27700872.0
ConventionalPlantOperator,OfferedPowerInMW,503,27700872.0
ConventionalPlantOperator,OfferedPowerInMW,504,10264617.6
ConventionalPlantOperator,OfferedPowerInMW,505,1450130.4000000001
ConventionalPlantOperator,ReceivedMoneyInEUR,501,63895968.39769834
ConventionalPlantOperator,ReceivedMoneyInEUR,502,215395710.74450466
ConventionalPlantOperator,ReceivedMoneyInEUR,503,102045844.69432317
ConventionalPlantOperator,ReceivedMoneyInEUR,504,1914.9279324886297
ConventionalPlantOperator,ReceivedMoneyInEUR,505,0.0
ConventionalTrader,AwardedPower,1001,1603058.0885667128
ConventionalTrader,AwardedPower,1002,5106728.151654731
ConventionalTrader,AwardedPower,1003,2249460.0209951214
ConventionalTrader,AwardedPower,1004,32.52742149100144
ConventionalTrader,AwardedPower,1005,0.0
ConventionalTrader,OfferedPowerInMW,1001,2266387.2
ConventionalTrader,OfferedPowerInMW,1002,27700872.0
ConventionalTrader,OfferedPowerInMW,1003,27700872.0
ConventionalTrader,OfferedPowerInMW,1004,10264617.6
ConventionalTrader,OfferedPowerInMW,1005,1450130.4000000001
DemandTrader,AwardedEnergyInMWH,100,56171750.5
DemandTrader,RequestedEnergyInMWH,100,56171750.5
EnergyExchange,DispatchSystemCostInEUR,1,353541437.8961896
EnergyExchange,ElectricityPriceInEURperMWH,1,310418.9536133371
EnergyExchange,TotalAwardedPowerInMW,1,57466772.722222224
MeritOrderForecaster,AwardedPowerForecast,6,56165139.5
MeritOrderForecaster,ElectricityPriceForecast,6,272211.1988444013
NoSupportTrader,AwardedEnergyInMWH,12,38140333.73366661
NoSupportTrader,EnergyImbalaceInMWH,12,6.009486241964623e-10
NoSupportTrader,OfferedEnergyInMWH,12,38142083.167359546
NoSupportTrader,ReceivedMarketRevenues,12,1346352875.7829804
StorageTrader,AwardedChargePower,7,1295022.2222222222
StorageTrader,AwardedDischargePower,7,-1062493.2
StorageTrader,AwardedPower,7,232529.02222222218
StorageTrader,Costs,7,30944912.644888885
StorageTrader,OfferedChargePrice,7,
StorageTrader,OfferedDischargePrice,7,
StorageTrader,OfferedPowerInMW,7,-232529.02222222218
StorageTrader,Profit,7,10186314.929405093
StorageTrader,Revenues,7,41131227.57429398
StorageTrader,StoredMWh,7,74700524.0
SystemOperatorTrader,AwardedEnergyInMWH,13,9304666.999917556
SystemOperatorTrader,EnergyImbalaceInMWH,13,5.1112891696902813e-11
SystemOperatorTrader,OfferedEnergyInMWH,13,9304666.999917556
SystemOperatorTrader,ReceivedMarketRevenues,13,332648735.4475364
SystemOperatorTrader,ReceivedSupportInEUR,13,749516466.3929725
SystemOperatorTrader,RefundedSupportInEUR,13,0.0
VariableRenewableOperator,AwardedPowerInMWH,10,1338332.000073971
VariableRenewableOperator,AwardedPowerInMWH,20,7966334.999843585
VariableRenewableOperator,AwardedPowerInMWH,50,27127225.630324848
VariableRenewableOperator,AwardedPowerInMWH,51,7652328.475
VariableRenewableOperator,AwardedPowerInMWH,52,2181627.0
VariableRenewableOperator,AwardedPowerInMWH,53,1066970.5663070627
VariableRenewableOperator,AwardedPowerInMWH,55,112182.06203470001
VariableRenewableOperator,CostsInEUR,10,0.0
VariableRenewableOperator,CostsInEUR,20,0.0
VariableRenewableOperator,CostsInEUR,50,0.0
VariableRenewableOperator,CostsInEUR,51,0.0
VariableRenewableOperator,CostsInEUR,52,0.0
VariableRenewableOperator,CostsInEUR,53,1280364.6795684753
VariableRenewableOperator,CostsInEUR,55,0.0
VariableRenewableOperator,OfferedPowerInMW,10,1338332.000073971
VariableRenewableOperator,OfferedPowerInMW,20,8292926.999911625
VariableRenewableOperator,OfferedPowerInMW,50,27495523.63040045
VariableRenewableOperator,OfferedPowerInMW,51,7674378.475
VariableRenewableOperator,OfferedPowerInMW,52,2218083.0
VariableRenewableOperator,OfferedPowerInMW,53,1089216.0
VariableRenewableOperator,OfferedPowerInMW,55,112182.06203470001
VariableRenewableOperator,ReceivedMoneyInEUR,10,102650064.4056736
VariableRenewableOperator,ReceivedMoneyInEUR,20,646866401.9872988
VariableRenewableOperator,ReceivedMoneyInEUR,50,947535302.9294236
VariableRenewableOperator,ReceivedMoneyInEUR,51,278429151.75477386
VariableRenewableOperator,ReceivedMoneyInEUR,52,78799310.48034413
VariableRenewableOperator,ReceivedMoneyInEUR,53,37869013.020395495
VariableRenewableOperator,ReceivedMoneyInEUR,55,3720097.5980433673
