AgentId;TimeStep;OfferedEnergyInMWH;AwardedEnergyInMWH;EnergyImbalaceInMWH;ReceivedMarketRevenues
12;599183999;3242.000002098;;;
12;599184001;;3242.000002098;0.0;
12;599187599;3301.499996724;;;
12;599187601;;3301.499996724;0.0;
12;599191199;3246.500000004;;;
12;599191201;;3246.500000004;0.0;
12;599194799;3248.5000028;;;
12;599194801;;3248.5000028;0.0;
12;599198399;3220.499997552;;;
12;599198401;;3220.499997552;0.0;
12;599201999;3165.249998552;;;
12;599202001;;3165.249998552;0.0;
12;599205599;3194.499997396;;;
12;599205601;;3194.499997396;0.0;
12;599209199;3369.5882246580004;;;
12;599209201;;3369.5882246580004;0.0;
12;599212799;3365.595559698;;;
12;599212801;;3365.595559698;0.0;
12;599216399;3421.61022238;;;
12;599216401;;3421.61022238;0.0;
12;599219999;3442.299875972;;;
12;599220001;;3442.299875972;0.0;
12;599223599;3474.6571694720005;;;
12;599223601;;3474.6571694720005;0.0;
12;599227199;3489.832144964;;;
12;599227201;;3489.832144964;0.0;
12;599230799;3380.326279084;;;
12;599230801;;3380.326279084;0.0;
12;599234399;3303.052811596;;;
12;599234401;;3303.052811596;0.0;
12;599237999;3314.5234741080003;;;
12;599238001;;3314.5234741080003;4.547473508864641e-13;
12;599241599;3343.673515186;;;
12;599241601;;3343.673515186;0.0;
12;599245199;3429.8352892800003;;;
12;599245201;;3429.8352892800003;4.547473508864641e-13;
12;599248799;3515.085290686;;;
12;599248801;;3515.085290686;4.547473508864641e-13;
12;599252399;3387.750001816;;;
12;599252401;;3387.750001816;0.0;
12;599255999;3144.49999785;;;
12;599256001;;3144.49999785;0.0;
12;599259599;3197.500002754;;;
12;599259601;;3197.500002754;0.0;
12;599263199;3052.249999444;;;
12;599263201;;3052.249999444;0.0;
12;599266799;3046.250001038;;;
12;599266801;;3046.250001038;0.0;
12;599270399;2687.249999044;;;
12;599270401;;2687.249999044;0.0;
12;599273999;2580.75000267;;;
12;599274001;;2580.75000267;0.0;
12;599277599;2551.4999963120003;;;
12;599277601;;2551.4999963120003;0.0;
12;599281199;2588.749999108;;;
12;599281201;;2588.749999108;0.0;
12;599284799;2658.2499976699996;;;
12;599284801;;2658.2499976699996;0.0;
12;599288399;2886.74999751;;;
12;599288401;;2886.74999751;0.0;
12;599291999;3051.999997414;;;
12;599292001;;3051.999997414;0.0;
12;599295599;3302.3382228640003;;;
12;599295601;;3302.3382228640003;0.0;
12;599299199;3392.261733372;;;
12;599299201;;3392.261733372;0.0;
12;599302799;3308.108760812;;;
12;599302801;;3308.108760812;0.0;
12;599306399;3170.461652024;;;
12;599306401;;3170.461652024;0.0;
12;599309999;3145.067475578;;;
12;599310001;;3145.067475578;0.0;
12;599313599;3194.245390774;;;
12;599313601;;3194.245390774;0.0;
12;599317199;3180.908632706;;;
12;599317201;;3180.908632706;0.0;
12;599320799;3187.468984806;;;
12;599320801;;3187.468984806;0.0;
12;599324399;3300.5234703300002;;;
12;599324401;;3300.5234703300002;4.547473508864641e-13;
12;599327999;3442.17350897;;;
12;599328001;;3442.17350897;0.0;
12;599331599;3827.3352867040003;;;
12;599331601;;3827.3352867040003;4.547473508864641e-13;
12;599335199;3835.58529303;;;
12;599335201;;3835.58529303;0.0;
12;599338799;3674.500000222;;;
12;599338801;;3674.500000222;0.0;
12;599342399;3514.0000022540003;;;
12;599342401;;3514.0000022540003;0.0;
12;599345999;3184.499998788;;;
12;599346001;;3184.499998788;0.0;
12;599349599;3125.0000038040002;;;
12;599349601;;3125.0000038040002;0.0;
12;599353199;3076.7499992119997;;;
12;599353201;;3076.7499992119997;0.0;
12;599356799;2883.999998542;;;
12;599356801;;2883.999998542;0.0;
12;599360399;2885.750001104;;;
12;599360401;;2885.750001104;0.0;
12;599363999;2863.499999698;;;
12;599364001;;2863.499999698;0.0;
12;599367599;2835.7499971519997;;;
12;599367601;;2835.7499971519997;0.0;
12;599371199;2808.25000351;;;
12;599371201;;2808.25000351;0.0;
12;599374799;2846.000001198;;;
12;599374801;;2846.000001198;0.0;
12;599378399;3016.2500010400004;;;
12;599378401;;3016.2500010400004;0.0;
12;599381999;3223.92204701;;;
12;599382001;;3223.92204701;0.0;
12;599385599;3298.5146692199996;;;
12;599385601;;3298.5146692199996;0.0;
12;599389199;3241.1969847500004;;;
12;599389201;;3241.1969847500004;4.547473508864641e-13;
12;599392799;3257.214588122;;;
12;599392801;;3257.214588122;0.0;
12;599396399;3398.9851213979996;;;
12;599396401;;3398.9851213979996;0.0;
12;599399999;3462.740988576;;;
12;599400001;;3462.740988576;0.0;
12;599403599;3690.732189306;;;
12;599403601;;3690.732189306;0.0;
12;599407199;3565.958713772;;;
12;599407201;;3565.958713772;0.0;
12;599410799;3429.435249914;;;
12;599410801;;3429.435249914;0.0;
12;599414399;3638.255870072;;;
12;599414401;;3638.255870072;0.0;
12;599417999;4068.3352928120003;;;
12;599418001;;4068.3352928120003;4.547473508864641e-13;
12;599421599;3767.335285954;;;
12;599421601;;3767.335285954;4.547473508864641e-13;
12;599425199;3541.749999754;;;
12;599425201;;3541.749999754;0.0;
12;599428799;3268.750002614;;;
12;599428801;;3268.750002614;0.0;
12;599432399;3095.499998742;;;
12;599432401;;3095.499998742;0.0;
12;599435999;3034.9999960259997;;;
12;599436001;;3034.9999960259997;0.0;
12;599439599;2968.249996682;;;
12;599439601;;2968.249996682;0.0;
12;599443199;2821.499996684;;;
12;599443201;;2821.499996684;0.0;
12;599446799;2719.500001996;;;
12;599446801;;2719.500001996;0.0;
12;599450399;2728.749998622;;;
12;599450401;;2728.749998622;0.0;
12;599453999;2670.749998966;;;
12;599454001;;2670.749998966;0.0;
12;599457599;2702.25000398;;;
12;599457601;;2702.25000398;0.0;
12;599461199;2687.9999983099997;;;
12;599461201;;2687.9999983099997;0.0;
12;599464799;2823.499996168;;;
12;599464801;;2823.499996168;0.0;
12;599468399;3170.67057936;;;
12;599468401;;3170.67057936;0.0;
12;599471999;3105.177912042;;;
12;599472001;;3105.177912042;0.0;
12;599475599;3260.18817956;;;
12;599475601;;3260.18817956;4.547473508864641e-13;
12;599479199;3359.53373457;;;
12;599479201;;3359.53373457;4.547473508864641e-13;
12;599482799;3369.880764072;;;
12;599482801;;3369.880764072;0.0;
12;599486399;3314.049876932;;;
12;599486401;;3314.049876932;4.547473508864641e-13;
12;599489999;3296.958719726;;;
12;599490001;;3296.958719726;0.0;
12;599493599;3255.276401508;;;
12;599493601;;3255.276401508;0.0;
12;599497199;3307.0117366379995;;;
12;599497201;;3307.0117366379995;0.0;
12;599500799;3456.170580546;;;
12;599500801;;3456.170580546;0.0;
12;599504399;3492.335290862;;;
12;599504401;;3492.335290862;4.547473508864641e-13;
12;599507999;3493.8352896280003;;;
12;599508001;;3493.8352896280003;4.547473508864641e-13;
12;599511599;3224.250003756;;;
12;599511601;;3224.250003756;0.0;
12;599515199;3189.000002022;;;
12;599515201;;3189.000002022;0.0;
12;599518799;3164.499998148;;;
12;599518801;;3164.499998148;0.0;
12;599522399;2970.9999992440003;;;
12;599522401;;2970.9999992440003;0.0;
12;599525999;2945.2499999;;;
12;599526001;;2945.2499999;0.0;
12;599529599;2803.7500032919997;;;
12;599529601;;2803.7500032919997;0.0;
12;599533199;2736.750003136;;;
12;599533201;;2736.750003136;0.0;
12;599536799;2747.4999989340004;;;
12;599536801;;2747.4999989340004;0.0;
12;599540399;2709.750000856;;;
12;599540401;;2709.750000856;0.0;
12;599543999;2684.500003012;;;
12;599544001;;2684.500003012;0.0;
12;599547599;2766.750000434;;;
12;599547601;;2766.750000434;0.0;
12;599551199;2845.000002448;;;
12;599551201;;2845.000002448;0.0;
12;599554799;3002.8367571400004;;;
12;599554801;;3002.8367571400004;0.0;
12;599558399;2973.007337336;;;
12;599558401;;2973.007337336;0.0;
12;599561999;3125.5955555180003;;;
12;599562001;;3125.5955555180003;0.0;
12;599565599;3191.267606566;;;
12;599565601;;3191.267606566;0.0;
12;599569199;3280.8558279979998;;;
12;599569201;;3280.8558279979998;0.0;
12;599572799;3139.35875883;;;
12;599572801;;3139.35875883;0.0;
12;599576399;3036.189649408;;;
12;599576401;;3036.189649408;0.0;
12;599579999;2977.09995475;;;
12;599580001;;2977.09995475;0.0;
12;599583599;2997.008802558;;;
12;599583601;;2997.008802558;0.0;
12;599587199;3029.086759982;;;
12;599587201;;3029.086759982;0.0;
12;599590799;3370.33529172;;;
12;599590801;;3370.33529172;4.547473508864641e-13;
12;599594399;3358.8352930640003;;;
12;599594401;;3358.8352930640003;4.547473508864641e-13;
12;599597999;3340.499999974;;;
12;599598001;;3340.499999974;0.0;
12;599601599;3078.000002272;;;
12;599601601;;3078.000002272;0.0;
12;599605199;3153.000002038;;;
12;599605201;;3153.000002038;0.0;
12;599608799;3207.2500023979997;;;
12;599608801;;3207.2500023979997;0.0;
12;599612399;3032.25000315;;;
12;599612401;;3032.25000315;0.0;
12;599615999;2808.75000398;;;
12;599616001;;2808.75000398;0.0;
12;599619599;2730.74999995;;;
12;599619601;;2730.74999995;0.0;
12;599623199;2729.499998888;;;
12;599623201;;2729.499998888;0.0;
12;599626799;2668.74999717;;;
12;599626801;;2668.74999717;0.0;
12;599630399;2706.750003794;;;
12;599630401;;2706.750003794;0.0;
12;599633999;2627.500001638;;;
12;599634001;;2627.500001638;0.0;
12;599637599;2665.99999995;;;
12;599637601;;2665.99999995;0.0;
12;599641199;2800.920581192;;;
12;599641201;;2800.920581192;0.0;
12;599644799;2901.0926215960003;;;
12;599644801;;2901.0926215960003;0.0;
