AgentId;TimeStep;OfferedPowerInMW;AwardedPowerInMWH;CostsInEUR
10;662255998;0.0;;
10;662256002;;0.0;0.0
10;662259598;0.0;;
10;662259602;;0.0;0.0
10;662263198;0.0;;
10;662263202;;0.0;0.0
10;662266798;0.0;;
10;662266802;;0.0;0.0
10;662270398;0.0;;
10;662270402;;0.0;0.0
10;662273998;0.0;;
10;662274002;;0.0;0.0
10;662277598;0.0;;
10;662277602;;0.0;0.0
10;662281198;0.0;;
10;662281202;;0.0;0.0
10;662284798;55.0;;
10;662284802;;55.0;0.0
10;662288398;440.0;;
10;662288402;;440.0;0.0
10;662291998;989.9999999999999;;
10;662292002;;989.9999999999999;0.0
10;662295598;1265.0;;
10;662295602;;1265.0;0.0
10;662299198;1485.0;;
10;662299202;;1485.0;0.0
10;662302798;1540.0;;
10;662302802;;1540.0;0.0
10;662306398;1265.0;;
10;662306402;;1265.0;0.0
10;662309998;440.0;;
10;662310002;;440.0;0.0
10;662313598;55.0;;
10;662313602;;55.0;0.0
10;662317198;0.0;;
10;662317202;;0.0;0.0
10;662320798;0.0;;
10;662320802;;0.0;0.0
10;662324398;0.0;;
10;662324402;;0.0;0.0
10;662327998;0.0;;
10;662328002;;0.0;0.0
10;662331598;0.0;;
10;662331602;;0.0;0.0
10;662335198;0.0;;
10;662335202;;0.0;0.0
10;662338798;0.0;;
10;662338802;;0.0;0.0
20;662255998;5500.0;;
20;662256002;;5500.0;0.0
20;662259598;6050.0;;
20;662259602;;6050.0;0.0
20;662263198;6600.0;;
20;662263202;;6600.0;0.0
20;662266798;7700.000000000001;;
20;662266802;;7700.000000000001;0.0
20;662270398;8250.0;;
20;662270402;;8250.0;0.0
20;662273998;9350.0;;
20;662274002;;9350.0;0.0
20;662277598;9900.0;;
20;662277602;;9900.0;0.0
20;662281198;11000.0;;
20;662281202;;11000.0;0.0
20;662284798;12100.0;;
20;662284802;;12100.0;0.0
20;662288398;13200.0;;
20;662288402;;13200.0;0.0
20;662291998;13750.0;;
20;662292002;;13750.0;0.0
20;662295598;13200.0;;
20;662295602;;13200.0;0.0
20;662299198;11550.0;;
20;662299202;;11550.0;0.0
20;662302798;11000.0;;
20;662302802;;11000.0;0.0
20;662306398;9900.0;;
20;662306402;;9900.0;0.0
20;662309998;9350.0;;
20;662310002;;9350.0;0.0
20;662313598;8800.0;;
20;662313602;;8800.0;0.0
20;662317198;9350.0;;
20;662317202;;9350.0;0.0
20;662320798;10450.0;;
20;662320802;;10450.0;0.0
20;662324398;12100.0;;
20;662324402;;12100.0;0.0
20;662327998;13750.0;;
20;662328002;;13750.0;0.0
20;662331598;16500.0;;
20;662331602;;16500.0;0.0
20;662335198;19250.0;;
20;662335202;;16744.0;0.0
20;662338798;19800.0;;
20;662338802;;14968.0;0.0
