AgentId;TimeStep;OfferedPowerInMW;AwardedPower
1001;599183999;258.72;
1001;599184001;;258.72
1001;599187599;258.72;
1001;599187601;;258.72
1001;599191199;258.72;
1001;599191201;;258.72
1001;599194799;258.72;
1001;599194801;;258.72
1001;599198399;258.72;
1001;599198401;;258.72
1001;599201999;258.72;
1001;599202001;;258.72
1001;599205599;258.72;
1001;599205601;;258.72
1001;599209199;258.72;
1001;599209201;;258.72
1001;599212799;258.72;
1001;599212801;;258.72
1001;599216399;258.72;
1001;599216401;;258.72
1001;599219999;258.72;
1001;599220001;;258.72
1001;599223599;258.72;
1001;599223601;;258.72
1001;599227199;258.72;
1001;599227201;;258.72
1001;599230799;258.72;
1001;599230801;;258.72
1001;599234399;258.72;
1001;599234401;;258.72
1001;599237999;258.72;
1001;599238001;;258.72
1001;599241599;258.72;
1001;599241601;;258.72
1001;599245199;258.72;
1001;599245201;;258.72
1001;599248799;258.72;
1001;599248801;;258.72
1001;599252399;258.72;
1001;599252401;;258.72
1001;599255999;258.72;
1001;599256001;;258.72
1001;599259599;258.72;
1001;599259601;;258.72
1001;599263199;258.72;
1001;599263201;;258.72
1001;599266799;258.72;
1001;599266801;;258.72
1001;599270399;258.72;
1001;599270401;;258.72
1001;599273999;258.72;
1001;599274001;;258.72
1001;599277599;258.72;
1001;599277601;;258.72
1001;599281199;258.72;
1001;599281201;;258.72
1001;599284799;258.72;
1001;599284801;;258.72
1001;599288399;258.72;
1001;599288401;;258.72
1001;599291999;258.72;
1001;599292001;;258.72
1001;599295599;258.72;
1001;599295601;;258.72
1001;599299199;258.72;
1001;599299201;;258.72
1001;599302799;258.72;
1001;599302801;;258.72
1001;599306399;258.72;
1001;599306401;;258.72
1001;599309999;258.72;
1001;599310001;;258.72
1001;599313599;258.72;
1001;599313601;;258.72
1001;599317199;258.72;
1001;599317201;;258.72
1001;599320799;258.72;
1001;599320801;;258.72
1001;599324399;258.72;
1001;599324401;;258.72
1001;599327999;258.72;
1001;599328001;;258.72
1001;599331599;258.72;
1001;599331601;;258.72
1001;599335199;258.72;
1001;599335201;;258.72
1001;599338799;258.72;
1001;599338801;;258.72
1001;599342399;258.72;
1001;599342401;;258.72
1001;599345999;258.72;
1001;599346001;;258.72
1001;599349599;258.72;
1001;599349601;;258.72
1001;599353199;258.72;
1001;599353201;;258.72
1001;599356799;258.72;
1001;599356801;;258.72
1001;599360399;258.72;
1001;599360401;;258.72
1001;599363999;258.72;
1001;599364001;;258.72
1001;599367599;258.72;
1001;599367601;;258.72
1001;599371199;258.72;
1001;599371201;;258.72
1001;599374799;258.72;
1001;599374801;;258.72
1001;599378399;258.72;
1001;599378401;;258.72
1001;599381999;258.72;
1001;599382001;;258.72
1001;599385599;258.72;
1001;599385601;;258.72
1001;599389199;258.72;
1001;599389201;;258.72
1001;599392799;258.72;
1001;599392801;;258.72
1001;599396399;258.72;
1001;599396401;;258.72
1001;599399999;258.72;
1001;599400001;;258.72
1001;599403599;258.72;
1001;599403601;;258.72
1001;599407199;258.72;
1001;599407201;;258.72
1001;599410799;258.72;
1001;599410801;;258.72
1001;599414399;258.72;
1001;599414401;;258.72
1001;599417999;258.72;
1001;599418001;;258.72
1001;599421599;258.72;
1001;599421601;;258.72
1001;599425199;258.72;
1001;599425201;;258.72
1001;599428799;258.72;
1001;599428801;;258.72
1001;599432399;258.72;
1001;599432401;;258.72
1001;599435999;258.72;
1001;599436001;;258.72
1001;599439599;258.72;
1001;599439601;;258.72
1001;599443199;258.72;
1001;599443201;;258.72
1001;599446799;258.72;
1001;599446801;;258.72
1001;599450399;258.72;
1001;599450401;;258.72
1001;599453999;258.72;
1001;599454001;;258.72
1001;599457599;258.72;
1001;599457601;;258.72
1001;599461199;258.72;
1001;599461201;;258.72
1001;599464799;258.72;
1001;599464801;;258.72
1001;599468399;258.72;
1001;599468401;;258.72
1001;599471999;258.72;
1001;599472001;;258.72
1001;599475599;258.72;
1001;599475601;;258.72
1001;599479199;258.72;
1001;599479201;;258.72
1001;599482799;258.72;
1001;599482801;;258.72
1001;599486399;258.72;
1001;599486401;;258.72
1001;599489999;258.72;
1001;599490001;;258.72
1001;599493599;258.72;
1001;599493601;;258.72
1001;599497199;258.72;
1001;599497201;;258.72
1001;599500799;258.72;
1001;599500801;;258.72
1001;599504399;258.72;
1001;599504401;;258.72
1001;599507999;258.72;
1001;599508001;;258.72
1001;599511599;258.72;
1001;599511601;;258.72
1001;599515199;258.72;
1001;599515201;;258.72
1001;599518799;258.72;
1001;599518801;;258.72
1001;599522399;258.72;
1001;599522401;;258.72
1001;599525999;258.72;
1001;599526001;;258.72
1001;599529599;258.72;
1001;599529601;;258.72
1001;599533199;258.72;
1001;599533201;;258.72
1001;599536799;258.72;
1001;599536801;;258.72
1001;599540399;258.72;
1001;599540401;;258.72
1001;599543999;258.72;
1001;599544001;;258.72
1001;599547599;258.72;
1001;599547601;;258.72
1001;599551199;258.72;
1001;599551201;;258.72
1001;599554799;258.72;
1001;599554801;;258.72
1001;599558399;258.72;
1001;599558401;;258.72
1001;599561999;258.72;
1001;599562001;;258.72
1001;599565599;258.72;
1001;599565601;;258.72
1001;599569199;258.72;
1001;599569201;;258.72
1001;599572799;258.72;
1001;599572801;;258.72
1001;599576399;258.72;
1001;599576401;;258.72
1001;599579999;258.72;
1001;599580001;;258.72
1001;599583599;258.72;
1001;599583601;;258.72
1001;599587199;258.72;
1001;599587201;;258.72
1001;599590799;258.72;
1001;599590801;;258.72
1001;599594399;258.72;
1001;599594401;;258.72
1001;599597999;258.72;
1001;599598001;;258.72
1001;599601599;258.72;
1001;599601601;;258.72
1001;599605199;258.72;
1001;599605201;;258.72
1001;599608799;258.72;
1001;599608801;;258.72
1001;599612399;258.72;
1001;599612401;;258.72
1001;599615999;258.72;
1001;599616001;;258.72
1001;599619599;258.72;
1001;599619601;;258.72
1001;599623199;258.72;
1001;599623201;;258.72
1001;599626799;258.72;
1001;599626801;;258.72
1001;599630399;258.72;
1001;599630401;;258.72
1001;599633999;258.72;
1001;599634001;;258.72
1001;599637599;258.72;
1001;599637601;;258.72
1001;599641199;258.72;
1001;599641201;;258.72
1001;599644799;258.72;
1001;599644801;;258.72
1001;599648399;258.72;
1001;599648401;;258.72
1001;599651999;258.72;
1001;599652001;;258.72
1001;599655599;258.72;
1001;599655601;;258.72
1001;599659199;258.72;
1001;599659201;;258.72
1001;599662799;258.72;
1001;599662801;;258.72
1001;599666399;258.72;
1001;599666401;;258.72
1001;599669999;258.72;
1001;599670001;;258.72
1001;599673599;258.72;
1001;599673601;;258.72
1001;599677199;258.72;
1001;599677201;;258.72
1001;599680799;258.72;
1001;599680801;;258.72
1001;599684399;258.72;
1001;599684401;;258.72
1001;599687999;258.72;
1001;599688001;;258.72
1001;599691599;258.72;
1001;599691601;;258.72
1001;599695199;258.72;
1001;599695201;;258.72
1001;599698799;258.72;
1001;599698801;;258.72
1001;599702399;258.72;
1001;599702401;;258.72
1001;599705999;258.72;
1001;599706001;;258.72
1001;599709599;258.72;
1001;599709601;;258.72
1001;599713199;258.72;
1001;599713201;;258.72
1001;599716799;258.72;
1001;599716801;;258.72
1001;599720399;258.72;
1001;599720401;;258.72
1001;599723999;258.72;
1001;599724001;;258.72
1001;599727599;258.72;
1001;599727601;;258.72
1001;599731199;258.72;
1001;599731201;;258.72
1001;599734799;258.72;
1001;599734801;;258.72
1001;599738399;258.72;
1001;599738401;;258.72
1001;599741999;258.72;
1001;599742001;;258.72
1001;599745599;258.72;
1001;599745601;;258.72
1001;599749199;258.72;
1001;599749201;;258.72
1001;599752799;258.72;
1001;599752801;;258.72
1001;599756399;258.72;
1001;599756401;;258.72
1001;599759999;258.72;
1001;599760001;;258.72
1001;599763599;258.72;
1001;599763601;;258.72
1001;599767199;258.72;
1001;599767201;;258.72
1001;599770799;258.72;
1001;599770801;;258.72
1001;599774399;258.72;
1001;599774401;;258.72
1001;599777999;258.72;
1001;599778001;;258.72
1001;599781599;258.72;
1001;599781601;;258.72
1001;599785199;258.72;
1001;599785201;;258.72
1001;599788799;258.72;
1001;599788801;;258.72
1001;599792399;258.72;
1001;599792401;;258.72
1001;599795999;258.72;
1001;599796001;;258.72
1001;599799599;258.72;
1001;599799601;;258.72
1001;599803199;258.72;
1001;599803201;;258.72
1001;599806799;258.72;
1001;599806801;;258.72
1001;599810399;258.72;
1001;599810401;;258.72
1001;599813999;258.72;
1001;599814001;;258.72
1001;599817599;258.72;
1001;599817601;;258.72
1001;599821199;258.72;
1001;599821201;;258.72
1001;599824799;258.72;
1001;599824801;;258.72
1001;599828399;258.72;
1001;599828401;;258.72
1001;599831999;258.72;
1001;599832001;;258.72
1001;599835599;258.72;
1001;599835601;;258.72
1001;599839199;258.72;
1001;599839201;;258.72
1001;599842799;258.72;
1001;599842801;;258.72
1001;599846399;258.72;
1001;599846401;;258.72
1001;599849999;258.72;
1001;599850001;;258.72
1001;599853599;258.72;
1001;599853601;;258.72
1001;599857199;258.72;
1001;599857201;;258.72
1001;599860799;258.72;
1001;599860801;;258.72
1001;599864399;258.72;
1001;599864401;;258.72
1001;599867999;258.72;
1001;599868001;;258.72
1001;599871599;258.72;
1001;599871601;;258.72
1001;599875199;258.72;
1001;599875201;;258.72
1001;599878799;258.72;
1001;599878801;;258.72
1001;599882399;258.72;
1001;599882401;;258.72
1001;599885999;258.72;
1001;599886001;;258.72
1001;599889599;258.72;
1001;599889601;;258.72
1001;599893199;258.72;
1001;599893201;;258.72
1001;599896799;258.72;
1001;599896801;;258.72
1001;599900399;258.72;
1001;599900401;;258.72
1001;599903999;258.72;
1001;599904001;;258.72
1001;599907599;258.72;
1001;599907601;;258.72
1001;599911199;258.72;
1001;599911201;;258.72
1001;599914799;258.72;
1001;599914801;;258.72
