AgentId;TimeStep;OfferedPowerInMW;OfferedChargePrice;OfferedDischargePrice;AwardedChargePower;AwardedDischargePower;AwardedPower;StoredMWh;Revenues;Costs;Profit
7;599183999;-755.5555555555555;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599184001;;;;755.5555555555555;-0.0;755.5555555555555;15680.0;0.0;30416.05178743962;-30416.05178743962
7;599187599;-1057.7777777777778;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599187601;;;;1057.7777777777778;-0.0;1057.7777777777778;16632.0;0.0;42582.472502415476;-42582.472502415476
7;599191199;-1435.5555555555554;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599191201;;;;1435.5555555555554;-0.0;1435.5555555555554;17924.0;0.0;57790.49839613528;-57790.49839613528
7;599194799;-1586.6666666666665;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599194801;;;;1586.6666666666665;-0.0;1586.6666666666665;19352.0;0.0;63873.7087536232;-63873.7087536232
7;599198399;-1813.3333333333333;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599198401;;;;1813.3333333333333;-0.0;1813.3333333333333;20984.0;0.0;72998.5242898551;-72998.5242898551
7;599201999;-1737.7777777777778;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599202001;;;;1737.7777777777778;-0.0;1737.7777777777778;22548.0;0.0;69956.91911111113;-69956.91911111113
7;599205599;-1737.7777777777778;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599205601;;;;1737.7777777777778;-0.0;1737.7777777777778;24112.0;0.0;69956.91911111113;-69956.91911111113
7;599209199;-1737.7777777777778;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599209201;;;;1737.7777777777778;-0.0;1737.7777777777778;25676.0;0.0;66248.18560756504;-66248.18560756504
7;599212799;-1586.6666666666665;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599212801;;;;1586.6666666666665;-0.0;1586.6666666666665;27104.0;0.0;63873.7087536232;-63873.7087536232
7;599216399;-1586.6666666666665;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599216401;;;;1586.6666666666665;-0.0;1586.6666666666665;28532.0;0.0;63873.7087536232;-63873.7087536232
7;599219999;-1737.7777777777778;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599220001;;;;1737.7777777777778;-0.0;1737.7777777777778;30096.0;0.0;69956.91911111113;-69956.91911111113
7;599223599;-1813.3333333333333;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599223601;;;;1813.3333333333333;-0.0;1813.3333333333333;31728.0;0.0;72998.5242898551;-72998.5242898551
7;599227199;-1813.3333333333333;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599227201;;;;1813.3333333333333;-0.0;1813.3333333333333;33360.0;0.0;72998.5242898551;-72998.5242898551
7;599230799;-1888.888888888889;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599230801;;;;1888.888888888889;-0.0;1888.888888888889;35060.0;0.0;76040.12946859906;-76040.12946859906
7;599234399;-1888.888888888889;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599234401;;;;1888.888888888889;-0.0;1888.888888888889;36760.0;0.0;80145.58913580248;-80145.58913580248
7;599237999;-1813.3333333333333;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599238001;;;;1813.3333333333333;-0.0;1813.3333333333333;38392.0;0.0;72998.5242898551;-72998.5242898551
7;599241599;-1662.2222222222222;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599241601;;;;1662.2222222222222;-0.0;1662.2222222222222;39888.0;0.0;70528.11843950619;-70528.11843950619
7;599245199;-906.6666666666666;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599245201;;;;906.6666666666666;-0.0;906.6666666666666;40704.0;0.0;36499.26214492755;-36499.26214492755
7;599248799;-1057.7777777777778;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599248801;;;;1057.7777777777778;-0.0;1057.7777777777778;41656.0;0.0;44881.52991604939;-44881.52991604939
7;599252399;-1208.888888888889;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599252401;;;;1208.888888888889;-0.0;1208.888888888889;42744.0;0.0;48665.6828599034;-48665.6828599034
7;599255999;-1360.0;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599256001;;;;1360.0;-0.0;1360.0;43968.0;0.0;54748.89321739132;-54748.89321739132
7;599259599;-1737.7777777777778;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599259601;;;;1737.7777777777778;-0.0;1737.7777777777778;45532.0;0.0;73733.94200493829;-73733.94200493829
7;599263199;-1813.3333333333333;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599263201;;;;1813.3333333333333;-0.0;1813.3333333333333;47164.0;0.0;72998.5242898551;-72998.5242898551
7;599266799;-2040.0;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599266801;;;;2040.0;-0.0;2040.0;49000.0;0.0;82123.33982608699;-82123.33982608699
7;599270399;-1586.6666666666665;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599270401;;;;1586.6666666666665;-0.0;1586.6666666666665;50428.0;0.0;63873.7087536232;-63873.7087536232
7;599273999;-1662.2222222222222;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599274001;;;;1662.2222222222222;-0.0;1662.2222222222222;51924.0;0.0;70528.11843950619;-70528.11843950619
7;599277599;-1813.3333333333333;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599277601;;;;1813.3333333333333;-0.0;1813.3333333333333;53556.0;0.0;72998.5242898551;-72998.5242898551
7;599281199;-1964.4444444444443;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599281201;;;;1964.4444444444443;-0.0;1964.4444444444443;55324.0;0.0;79081.73464734302;-79081.73464734302
7;599284799;-1888.888888888889;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599284801;;;;1888.888888888889;-0.0;1888.888888888889;57024.0;0.0;80145.58913580248;-80145.58913580248
7;599288399;-1511.111111111111;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599288401;;;;1511.111111111111;-0.0;1511.111111111111;58384.0;0.0;64116.47130864199;-64116.47130864199
7;599291999;-1057.7777777777778;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599292001;;;;1057.7777777777778;-0.0;1057.7777777777778;59336.0;0.0;42582.472502415476;-42582.472502415476
