AgentId;TimeStep;OfferedPowerInMW;AwardedPowerInMWH;ReceivedMoneyInEUR;CostsInEUR
501;599183998;258.72;;;
501;599184002;;252.33333257533351;8797.311456906542;8292.644791755873
501;599187598;258.72;;;
501;599187602;;246.05555828655562;8578.444075768732;8086.332959195621
501;599191198;258.72;;;
501;599191202;;246.83333190933328;8605.560258687208;8111.893594868542
501;599194798;258.72;;;
501;599194802;;258.72;9320.392311999996;8502.535272
501;599198398;258.72;;;
501;599198402;;251.6111121341116;8772.132071776847;8268.909847508623
501;599201998;258.72;;;
501;599202002;;255.30555732355626;8900.934654694867;8390.323540047753
501;599205598;258.72;;;
501;599205602;;258.72;9320.392311999996;8502.535272
501;599209198;258.72;;;
501;599209202;;258.72;9320.392311999996;8502.535272
501;599212798;258.72;;;
501;599212802;;258.72;9320.392311999996;8502.535272
501;599216398;258.72;;;
501;599216402;;255.83422229044365;8919.365950800684;8407.697506219796
501;599219998;258.72;;;
501;599220002;;258.72;9320.392311999996;8502.535272
501;599223598;258.72;;;
501;599223602;;255.8983863395549;8921.602956584291;8409.80618390518
501;599227198;258.72;;;
501;599227202;;258.72;9320.392311999996;8502.535272
501;599230798;258.72;;;
501;599230802;;258.72;9320.392311999996;8502.535272
501;599234398;258.72;;;
501;599234402;;253.50274565955507;8838.081699262879;8331.076207943768
501;599237998;258.72;;;
501;599238002;;258.72;9320.392311999996;8502.535272
501;599241598;258.72;;;
501;599241602;;255.21537320188847;8897.79048900466;8387.359742600882
501;599245198;258.72;;;
501;599245202;;245.4980453323321;8559.007027759626;8068.010937094962
501;599248798;258.72;;;
501;599248802;;258.72;9320.392311999996;8502.535272
501;599252398;258.72;;;
501;599252402;;258.72;9320.392311999996;8502.535272
501;599255998;258.72;;;
501;599256002;;258.72;9320.392311999996;8502.535272
501;599259598;258.72;;;
501;599259602;;255.94444091544457;8923.208596409922;8411.319714579033
501;599263198;258.72;;;
501;599263202;;258.72;9320.392311999996;8502.535272
501;599266798;258.72;;;
501;599266802;;258.72;9320.392311999996;8502.535272
501;599270398;258.72;;;
501;599270402;;258.72;9320.392311999996;8502.535272
501;599273998;258.72;;;
501;599274002;;258.72;9320.392311999996;8502.535272
501;599277598;258.72;;;
501;599277602;;258.72;9320.392311999996;8502.535272
501;599281198;258.72;;;
501;599281202;;258.72;9320.392311999996;8502.535272
501;599284798;258.72;;;
501;599284802;;258.72;9320.392311999996;8502.535272
501;599288398;258.72;;;
501;599288402;;258.72;9320.392311999996;8502.535272
501;599291998;258.72;;;
501;599292002;;258.72;9320.392311999996;8502.535272
501;599295598;258.72;;;
501;599295602;;258.72;10193.126391724138;8502.535272
