AgentId;TimeStep;OfferedEnergyInMWH;AwardedEnergyInMWH;EnergyImbalaceInMWH;ReceivedMarketRevenues
12;599183999;5936.423610098;;;
12;599184001;;0.0;0.0;
12;599187599;6017.929100724;;;
12;599187601;;0.0;0.0;
12;599191199;5990.435984004;;;
12;599191201;;0.0;0.0;
12;599194799;6003.688802799999;;;
12;599194801;;0.0;0.0;
12;599198399;5931.677789552;;;
12;599198401;;0.0;0.0;
12;599201999;5860.423790552;;;
12;599202001;;1250.6000003200002;0.0;
12;599205599;5892.174413396;;;
12;599205601;;1998.000000665;0.0;
12;599209199;6231.0535926580005;;;
12;599209201;;2139.999998475;0.0;
12;599212799;6256.818367698001;;;
12;599212801;;2299.999999453;0.0;
12;599216399;6364.345902380001;;;
12;599216401;;2393.0000002259994;0.0;
12;599219999;6407.5411879719995;;;
12;599220001;;2246.0000010559997;0.0;
12;599223599;6423.894481472001;;;
12;599223601;;2295.000000256;0.0;
12;599227199;6408.811888964;;;
12;599227201;;2339.000000448;0.0;
12;599230799;6191.779143084;;;
12;599230801;;2176.9999991610002;0.0;
12;599234399;6101.502427596;;;
12;599234401;;2121.0000016999998;0.0;
12;599237999;6139.9798421079995;;;
12;599238001;;2153.0000018540004;0.0;
12;599241599;6191.885571186;;;
12;599241601;;2389.999999499;0.0;
12;599245199;6308.55496928;;;
12;599245201;;3222.000001279;0.0;
12;599248799;6387.303346686;;;
12;599248801;;3169.9999989890002;0.0;
12;599252399;6134.686737816;;;
12;599252401;;2838.99999862;0.0;
12;599255999;5778.908597850001;;;
12;599256001;;2462.0000001999997;0.0;
12;599259599;5897.424986754;;;
12;599259601;;2168.9999992249996;0.0;
12;599263199;5645.148223444;;;
12;599263201;;1894.0000004600001;0.0;
12;599266799;5597.637849037999;;;
12;599266801;;1683.9999998150001;0.0;
12;599270399;4886.549823044001;;;
12;599270401;;1754.9999994499997;0.0;
12;599273999;4658.019322669999;;;
12;599274001;;1633.0000011050001;0.0;
12;599277599;4642.522748312001;;;
12;599277601;;2830.5555563005555;0.0;
12;599281199;4691.025567107999;;;
12;599281201;;4562.888889018888;0.0;
12;599284799;4815.53931767;;;
12;599284801;;4655.333334443333;0.0;
12;599288399;5286.5999575099995;;;
12;599288401;;5114.222223137223;0.0;
12;599291999;5597.386341414;;;
12;599292001;;5448.555555085555;0.0;
12;599295599;6008.514766864;;;
12;599295601;;5853.333332368334;0.0;
12;599299199;6011.916645372;;;
12;599299201;;5853.444444766446;0.0;
12;599302799;5917.511112812001;;;
12;599302801;;5720.3333339813325;0.0;
12;599306399;5822.874756024;;;
12;599306401;;5673.888888654888;0.0;
12;599309999;5774.224763578;;;
12;599310001;;5621.555555293555;0.0;
12;599313599;5842.657494774;;;
12;599313601;;5662.555555171555;0.0;
12;599317199;5812.816608706;;;
12;599317201;;5683.444443918445;0.0;
12;599320799;5819.376960806;;;
12;599320801;;5678.333333259334;0.0;
12;599324399;5978.44295033;;;
12;599324401;;5804.222223141224;0.0;
12;599327999;6213.86642897;;;
12;599328001;;6018.222220711223;0.0;
12;599331599;6611.281270703999;;;
12;599331601;;6466.666666210666;0.0;
12;599335199;6654.28997303;;;
12;599335201;;6458.111112175111;0.0;
12;599338799;6462.947112222;;;
12;599338801;;6288.666667501666;0.0;
12;599342399;6221.926986254;;;
12;599342401;;6039.222223042223;0.0;
12;599345999;5771.896846788;;;
12;599346001;;5614.333334783334;0.0;
12;599349599;5608.120787804;;;
12;599349601;;5464.777777987778;0.0;
12;599353199;5521.361151212;;;
12;599353201;;5333.888888468889;0.0;
12;599356799;5219.333830542;;;
12;599356801;;5072.222223202223;0.0;
12;599360399;5212.081585104001;;;
12;599360401;;5062.333334293333;0.0;
12;599363999;5196.3332076980005;;;
12;599364001;;5015.888889078889;0.0;
12;599367599;5153.329389151999;;;
12;599367601;;5012.555554465556;0.0;
12;599371199;5112.07596351;;;
12;599371201;;4929.000000055;0.0;
12;599374799;5154.827209198;;;
12;599374801;;5021.333333643333;0.0;
12;599378399;5439.60584104;;;
12;599378401;;5299.666665576668;0.0;
12;599381999;5756.55520701;;;
12;599382001;;5579.599999365999;0.0;
12;599385599;5813.39338922;;;
12;599385601;;5655.799998803001;0.0;
12;599389199;5803.587584750001;;;
12;599389201;;5639.399998987999;0.0;
12;599392799;5800.850500122;;;
12;599392801;;5633.600000412;0.0;
12;599396399;5928.6175293979995;;;
12;599396401;;5760.99999992;0.0;
12;599399999;6007.127084576;;;
12;599400001;;5846.199998652;0.0;
12;599403599;6282.630165306;;;
12;599403601;;6102.600000411;0.0;
12;599407199;6217.621625772;;;
12;599407201;;6052.40000152;0.0;
12;599410799;6091.600793914;;;
12;599410801;;5952.400000091;0.0;
12;599414399;6390.693982072;;;
12;599414401;;6234.799998212;0.0;
12;599417999;6842.528844811999;;;
12;599418001;;6716.400000769;0.0;
12;599421599;6563.284269954;;;
12;599421601;;6439.199999979;0.0;
12;599425199;6289.686983754;;;
12;599425201;;6144.00000038;0.0;
12;599428799;5930.915546614;;;
12;599428801;;5748.000001119999;0.0;
12;599432399;5627.633030741999;;;
12;599432401;;5492.60000149;0.0;
12;599435999;5434.599892025999;;;
12;599436001;;5293.59999899;0.0;
12;599439599;5373.3512686819995;;;
12;599439601;;5243.999999640001;0.0;
12;599443199;5098.569260684;;;
12;599443201;;4974.8000004099995;0.0;
12;599446799;4943.556017995999;;;
12;599446801;;4761.59999902;0.0;
12;599450399;4942.8035106219995;;;
12;599450401;;4795.99999966;0.0;
12;599453999;4863.298134966;;;
12;599454001;;4682.222220987222;0.0;
12;599457599;4918.55408398;;;
12;599457601;;4773.999999020001;0.0;
12;599461199;4875.04675831;;;
12;599461201;;4696.9999984999995;0.0;
12;599464799;5132.827324168;;;
12;599464801;;5009.400000005;0.0;
12;599468399;5715.3067393599995;;;
12;599468401;;5559.200000338;0.0;
12;599471999;5629.308944042001;;;
12;599472001;;5470.399999281;0.0;
12;599475599;5844.83433956;;;
12;599475601;;5686.600000651999;0.0;
12;599479199;5942.4294545699995;;;
12;599479201;;5763.3999986399995;0.0;
12;599482799;5941.523676072;;;
12;599482801;;5774.200001311;0.0;
12;599486399;5823.927348931999;;;
12;599486401;;5661.999998371;0.0;
12;599489999;5797.3338157260005;;;
12;599490001;;5675.199999419999;0.0;
12;599493599;5783.158369508001;;;
12;599493601;;5655.599998885;0.0;
12;599497199;5850.397584638;;;
12;599497201;;5701.400001077;0.0;
12;599500799;6077.825996546;;;
12;599500801;;5944.600001203;0.0;
12;599504399;6097.736642861999;;;
12;599504401;;5974.599998679001;0.0;
12;599507999;6094.985577628;;;
12;599508001;;5911.799999009;0.0;
12;599511599;5780.138979756;;;
12;599511601;;5599.59999911;0.0;
12;599515199;5748.639914022;;;
12;599515201;;5334.000000354999;0.0;
12;599518799;5722.1394061480005;;;
12;599518801;;4930.000000935;0.0;
12;599522399;5367.099023244;;;
12;599522401;;3491.00000088;0.0;
12;599525999;5346.8503999;;;
12;599526001;;3277.000000715;0.0;
12;599529599;5063.064835292;;;
12;599529601;;2579.000000425;0.0;
12;599533199;4982.561459136001;;;
12;599533201;;2326.0000011699995;0.0;
12;599536799;4988.560262934001;;;
12;599536801;;2461.0000007850003;0.0;
12;599540399;4912.050576856;;;
12;599540401;;2413.0000006600003;0.0;
12;599543999;4868.2959550119995;;;
12;599544001;;2179.99999862;0.0;
12;599547599;4983.804264434;;;
12;599547601;;2883.9999994;0.0;
12;599551199;5133.822210448;;;
12;599551201;;3777.999998915;0.0;
12;599554799;5426.1925971400005;;;
12;599554801;;4093.999999007;0.0;
12;599558399;5423.619993336;;;
12;599558401;;4069.999999025;0.0;
12;599561999;5603.715083518;;;
12;599562001;;4342.999999433001;0.0;
12;599565599;5705.396142566;;;
12;599565601;;4406.000000759001;0.0;
12;599569199;5770.478235998;;;
12;599569201;;4531.000000661999;0.0;
12;599572799;5628.48103883;;;
12;599572801;;4361.999999648;0.0;
12;599576399;5500.055617408;;;
12;599576401;;4243.000000973;0.0;
12;599579999;5430.71335475;;;
12;599580001;;4155.999998507001;0.0;
12;599583599;5464.875770558;;;
12;599583601;;4234.999999260999;0.0;
12;599587199;5518.959231982;;;
12;599587201;;4199.000000262;0.0;
12;599590799;6050.005211719999;;;
12;599590801;;4573.999999629001;0.0;
12;599594399;6000.995837064;;;
12;599594401;;4561.000001284001;0.0;
12;599597999;6004.916103973999;;;
12;599598001;;4489.00000084;0.0;
12;599601599;5633.638914272;;;
12;599601601;;4194.99999976;0.0;
12;599605199;5688.383850038;;;
12;599605201;;4617.000001065;0.0;
12;599608799;5696.872410397999;;;
12;599608801;;4685.0000011150005;0.0;
12;599612399;5381.83740315;;;
12;599612401;;4613.000001435001;0.0;
12;599615999;5025.05408398;;;
12;599616001;;3926.9999997449995;0.0;
12;599619599;4931.55019995;;;
12;599619601;;3438.9999995999997;0.0;
12;599623199;4915.296446888;;;
12;599623201;;3138.0000003550003;0.0;
12;599626799;4834.04131717;;;
12;599626801;;2717.999998725;0.0;
12;599630399;4830.030827794;;;
12;599630401;;3207.000001485;0.0;
12;599633999;4769.285449638;;;
12;599634001;;2612.99999922;0.0;
12;599637599;4866.80019995;;;
12;599637601;;3804.888889038889;0.0;
12;599641199;5068.2374131920005;;;
12;599641201;;4930.444443127444;0.0;
12;599644799;5189.164637596001;;;
12;599644801;;4992.111112198112;0.0;
12;599648399;5263.101900392;;;
12;599648401;;5078.777776954777;0.0;
12;599651999;5357.953079385999;;;
12;599652001;;5194.222222737222;0.0;
12;599655599;5481.475827768;;;
12;599655601;;5312.666666159666;0.0;
12;599659199;5459.81447716;;;
12;599659201;;5314.222222575223;0.0;
12;599662799;5378.233137474001;;;
12;599662801;;5253.222223001223;0.0;
12;599666399;5356.387735767999;;;
12;599666401;;5214.666666979668;0.0;
12;599669999;5443.453488218;;;
12;599670001;;5312.222223089222;0.0;
12;599673599;5464.201750618;;;
12;599673601;;5267.777776092778;0.0;
12;599677199;6018.260079501999;;;
12;599677201;;5821.88888934789;0.0;
12;599680799;6285.757965031999;;;
12;599680801;;6090.777777871777;0.0;
12;599684399;6089.15504124;;;
12;599684401;;5925.777778692778;0.0;
12;599687999;5741.901911022001;;;
12;599688001;;5602.8888884338885;0.0;
12;599691599;5555.1270322420005;;;
12;599691601;;5388.111112266111;0.0;
12;599695199;5253.088517869999;;;
12;599695201;;5096.555555940557;0.0;
12;599698799;5036.318899775999;;;
12;599698801;;4868.9999993950005;0.0;
12;599702399;4904.544447388;;;
12;599702401;;4708.555555650555;0.0;
12;599705999;5159.56652337;;;
12;599706001;;5018.555556195555;0.0;
12;599709599;5238.320768308;;;
12;599709601;;5093.444443879444;0.0;
12;599713199;5205.57107973;;;
12;599713201;;5017.777779247777;0.0;
12;599716799;5308.086026494;;;
12;599716801;;5149.000000625;0.0;
12;599720399;5359.584026994;;;
12;599720401;;5198.111112146111;0.0;
12;599723999;5644.356021493999;;;
12;599724001;;5500.1999987750005;0.0;
12;599727599;6280.420545398;;;
