AgentId;TimeStep;OfferedPowerInMW;AwardedPowerInMWH;CostsInEUR;ReceivedMoneyInEUR
10;599183977;4153.000008070002;;;
10;599184002;;0.0;0.0;
10;599187577;0.0;;;
10;599187602;;0.0;0.0;
10;599191177;0.0;;;
10;599191202;;0.0;0.0;
10;599194777;0.0;;;
10;599194802;;0.0;0.0;
10;599198377;0.0;;;
10;599198402;;0.0;0.0;
10;599201977;0.0;;;
10;599202002;;0.0;0.0;
10;599205577;0.0;;;
10;599205602;;0.0;0.0;
10;599209177;4.0000001560000005;;;
10;599209202;;10.000000389999968;0.0;
10;599212777;10.000000389999999;;;
10;599212802;;24.999999782;0.0;
10;599216377;23.999999743;;;
10;599216402;;54.999999759;0.0;
10;599219977;51.999999642;;;
10;599220002;;102.00000039899999;0.0;
10;599223577;77.999999463;;;
10;599223602;;150.999999924;0.0;
10;599227177;93.00000004799999;;;
10;599227202;;168.00000058699993;0.0;
10;599230777;100.000000321;;;
10;599230802;;156.00000011899988;0.0;
10;599234377;79.999999541;;;
10;599234402;;107.99999944;0.0;
10;599237977;43.000000484000005;;;
10;599238002;;47.99999948599998;0.0;
10;599241577;13.000000507;;;
10;599241602;;14.000000546;0.0;
10;599245177;4.0000001560000005;;;
10;599245202;;4.0000001560000005;0.0;
10;599248777;4.0000001560000005;;;
10;599248802;;4.0000001560000005;0.0;
10;599252377;0.0;;;
10;599252402;;0.0;0.0;
10;599255977;0.0;;;
10;599256002;;0.0;0.0;
10;599259577;0.0;;;
10;599259602;;0.0;0.0;
10;599263177;0.0;;;
10;599263202;;0.0;0.0;
10;599266777;0.0;;;
10;599266802;;0.0;0.0;
10;599270377;0.0;;;
10;599270402;;0.0;0.0;
10;599273977;0.0;;;
10;599274002;;0.0;0.0;
10;599277577;0.0;;;
10;599277602;;0.0;0.0;
10;599281177;0.0;;;
10;599281202;;0.0;0.0;
10;599284777;0.0;;;
10;599284802;;0.0;0.0;
10;599288377;0.0;;;
10;599288402;;0.0;0.0;
10;599291977;0.0;;;
10;599292002;;0.0;0.0;
10;599295577;10.000000389999999;;;
10;599295602;;10.000000389999968;0.0;
10;599299177;21.999999665;;;
10;599299202;;23.99999974299999;0.0;
10;599302777;40.000000367;;;
10;599302802;;51.999999642;0.0;
10;599306377;65.000000149;;;
10;599306402;;92.0000000089999;0.0;
10;599309977;90.99999997;;;
10;599310002;;137.9999994169998;0.0;
10;599313577;100.000000321;;;
10;599313602;;161.00000031399986;0.0;
10;599317177;89.999999931;;;
10;599317202;;154.000000041;0.0;
10;599320777;59.999999953999996;;;
10;599320802;;107.000000594;0.0;
10;599324377;27.999999899;;;
10;599324402;;47.99999948599998;0.0;
10;599327977;10.000000389999999;;;
10;599328002;;14.000000546;0.0;
10;599331577;4.0000001560000005;;;
10;599331602;;4.0000001560000005;0.0;
10;599335177;4.0000001560000005;;;
10;599335202;;4.0000001560000005;0.0;
10;599338777;0.0;;;
10;599338802;;0.0;0.0;
10;599342377;0.0;;;
10;599342402;;0.0;0.0;
10;599345977;0.0;;;
10;599346002;;0.0;0.0;
10;599349577;0.0;;;
10;599349602;;0.0;0.0;
10;599353177;0.0;;;
10;599353202;;0.0;0.0;
